fundcode,fundname,holders
000084,博时安盈债券A,https://j6.dfcfw.com/charts/StockPos/000084.png?rg=NaN
000085,博时安盈债券C,https://j6.dfcfw.com/charts/StockPos/000085.png?rg=NaN
000086,南方稳利1年持有期债券A,https://j6.dfcfw.com/charts/StockPos/000086.png?rg=NaN
000089,民生加银高等级信用债C,https://j6.dfcfw.com/charts/StockPos/000089.png?rg=NaN
000090,民生加银高等级信用债A,https://j6.dfcfw.com/charts/StockPos/000090.png?rg=NaN
000103,国泰境外高收益债(QDII),https://j6.dfcfw.com/charts/StockPos/000103.png?rg=NaN
000104,华宸未来稳健添利债券A,https://j6.dfcfw.com/charts/StockPos/000104.png?rg=NaN
000105,建信安心回报债券A,https://j6.dfcfw.com/charts/StockPos/000105.png?rg=NaN
000106,建信安心回报债券C,https://j6.dfcfw.com/charts/StockPos/000106.png?rg=NaN
000107,富国稳健增强债券A/B,https://j6.dfcfw.com/charts/StockPos/000107.png?rg=NaN
000108,富国稳健增强债券A/B(后端),https://j6.dfcfw.com/charts/StockPos/000108.png?rg=NaN
000109,富国稳健增强债券C,https://j6.dfcfw.com/charts/StockPos/000109.png?rg=NaN
000110,金鹰元安混合A,https://j6.dfcfw.com/charts/StockPos/000110.png?rg=NaN
000111,易方达纯债1年定开债A,https://j6.dfcfw.com/charts/StockPos/000111.png?rg=NaN
000112,易方达纯债1年定开债C,https://j6.dfcfw.com/charts/StockPos/000112.png?rg=NaN
000116,嘉实丰益纯债定期债券A,https://j6.dfcfw.com/charts/StockPos/000116.png?rg=NaN
000117,广发轮动配置混合,https://j6.dfcfw.com/charts/StockPos/000117.png?rg=NaN
000118,广发聚鑫债券A,https://j6.dfcfw.com/charts/StockPos/000118.png?rg=NaN
000119,广发聚鑫债券C,https://j6.dfcfw.com/charts/StockPos/000119.png?rg=NaN
000120,中银美丽中国混合,https://j6.dfcfw.com/charts/StockPos/000120.png?rg=NaN
000121,华夏永福混合A,https://j6.dfcfw.com/charts/StockPos/000121.png?rg=NaN
000122,汇添富实业债债券A,https://j6.dfcfw.com/charts/StockPos/000122.png?rg=NaN
000123,汇添富实业债债券C,https://j6.dfcfw.com/charts/StockPos/000123.png?rg=NaN
000124,华宝服务优选混合,https://j6.dfcfw.com/charts/StockPos/000124.png?rg=NaN
000126,招商安润灵活配置混合A,https://j6.dfcfw.com/charts/StockPos/000126.png?rg=NaN
000127,农银行业领先混合,https://j6.dfcfw.com/charts/StockPos/000127.png?rg=NaN
000128,大成景安短融债券A,https://j6.dfcfw.com/charts/StockPos/000128.png?rg=NaN
000129,大成景安短融债券B,https://j6.dfcfw.com/charts/StockPos/000129.png?rg=NaN
000130,大成景兴信用债债券A,https://j6.dfcfw.com/charts/StockPos/000130.png?rg=NaN
000131,大成景兴信用债债券C,https://j6.dfcfw.com/charts/StockPos/000131.png?rg=NaN
000134,中信保诚嘉鸿债券A,https://j6.dfcfw.com/charts/StockPos/000134.png?rg=NaN
