stock_code,stock_name,hold_amount,hold_ratio,hold_value,change_amount,change_ratio,market_value,netasset_ratio,free_shares_ratio,holder_code,holder_name,parent_org_code,parent_org_name,org_type_code,org_type,org_name_abbr,fundcode,report_date,update_time,daily_change_pct,estimated_contribution_pct
301413,安培龙,1888885.0,1.91955985,254621698.0,0.0,0.0,0.0,1.31,3.21512921,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.51,-0.006681
002126,银轮股份,6410980.0,0.75805943,242335044.0,0.0,0.0,0.0,1.25,0.80836643,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,3.03,0.037875
300433,蓝思科技,7272562.0,0.13762512,220140451.74,0.0,0.0,0.0,1.13,0.1462885,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-1.39,-0.015707
002664,信质集团,8313880.0,2.0367173,199200564.8,0.0,0.0,0.0,1.02,2.06516985,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.52,-0.005304
300421,力星股份,5287040.0,1.79812648,194457331.2,0.0,0.0,0.0,1.0,2.29527939,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.53,0.0053
605288,凯迪股份,1811390.0,2.56305759,162662822.0,0.0,0.0,0.0,0.84,2.58036763,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-2.84,-0.023856
301225,恒勃股份,885268.0,0.85632424,146511854.0,0.0,0.0,0.0,0.75,2.96254601,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-3.14,-0.02355
300007,汉威科技,2463700.0,0.75239974,132054320.0,0.0,0.0,0.0,0.68,0.86965872,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.18,-0.001224
002600,领益智造,4419023.0,0.06047567,68671617.42,0.0,0.0,0.0,0.35,0.06138713,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,1.03,0.0036049999999999997
300382,斯莱克,3966179.0,0.61168708,61713745.24,0.0,0.0,0.0,0.32,0.61174536,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.25,0.0008
688795,摩尔线程,344.0,0.0,202237.6,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,1.82,0.0
