market,code,chg_pct,vol_rank,amt_rank
SH,601288,0.43,2221940,2435882
SH,601398,0.5,2154202,2847686
SH,601857,1.29,1786001,2018721
SZ,300750,0.78,1703819,1850431
SH,600519,2.26,1688598,1688598
SH,601988,0.5,1273024,1946163
SH,601138,-4.37,1095791,1095791
SZ,300308,-7.16,979833,1032618
SH,600036,0.83,824951,1008542
SH,601628,-0.09,819198,1111933
SH,600900,0.83,713738,713738
SH,688256,-5.65,679813,679813
SH,601899,1.68,673473,869250
SH,688041,-2.36,644446,644446
SZ,000333,0.7,603025,668210
SH,601318,1.09,585131,993928
SZ,002371,-1.83,502791,503193
SH,600028,1.35,496503,633650
SH,601728,1.76,492949,581070
SZ,300502,-10.01,475358,528423
SZ,002475,-3.45,440896,464984
SH,601166,1.4,398920,398920
SH,601658,1.37,376419,623293
SH,600030,-0.13,346545,421793
SH,600276,0.3,344785,358741
SZ,002594,1.32,335064,876163
SH,688012,-1.48,334141,339689
SH,603993,0.1,333502,408631
SZ,002415,-0.19,322674,326911
SH,601998,0.77,318359,434589
SH,600000,1.29,313075,313075
SH,603259,-1.78,307256,370672
SZ,000858,4.34,304427,304435
SZ,300059,0.85,268001,317552
SH,601319,0.4,264458,329469
SH,600150,-0.51,260010,260010
SH,601211,0.11,255766,334068
SH,688981,-3.01,253844,1086794
SH,600183,-3.11,252751,254560
SH,601816,0.59,251967,251967
SH,603986,0.49,244541,256705
SH,601225,0.81,240824,240824
SH,600309,1.95,237728,237728
SH,688825,-0.46,237310,3524623
SH,688008,-1.93,232937,248355
SZ,000651,0.48,231096,234419
SZ,002384,-9.06,226622,299413
SZ,000001,1.24,221612,221616
SH,601601,1.35,221506,311314
SH,600919,0.77,214894,214894
SH,603288,2.15,213805,225003
SZ,002142,1.19,213162,213296
SZ,002916,-5.79,197900,202770
SZ,300408,-3.25,196965,209401
SH,601919,0.45,196133,238488
SH,688072,-1.13,195881,201414
SZ,000725,-3.14,195580,204855
SH,601668,0.86,193379,193379
SZ,300760,3.05,193351,193518
SH,600406,0.25,192116,192682
SZ,002463,-6.33,189551,189704
SH,600025,0.8,187801,187801
SZ,002938,-6.65,182255,182784
SH,600887,1.24,174027,174896
SH,600031,0.1,173047,187762
SH,601985,0.56,170138,185318
SH,601066,0.81,169407,202295
SZ,002352,1.32,168929,185339
SZ,300274,-0.28,168659,220258
SZ,300476,-4.6,166394,189009
SH,600809,4.49,163439,163439
SZ,003816,0.74,161668,207550
SZ,300433,-3.01,160919,170926
SH,601766,1.46,152292,179655
SZ,300124,2.47,152163,170931
SH,600176,-0.35,151913,153120
SZ,000792,1.34,148110,148111
SH,601818,1.93,147110,187301
SH,601688,-0.63,146354,180808
SH,600690,0.39,144257,216342
