market,code,chg_pct,vol_rank,amt_rank
SH,601288,2.17,2107012,2309888
SH,601398,1.46,2067926,2733636
SH,601857,2.34,1768189,1998589
SZ,300750,-0.92,1688100,1833358
SH,600519,0.38,1622593,1622593
SH,601138,-2.97,1313679,1313679
SH,601988,2.2,1270916,1942941
SH,601628,-1.72,769429,1044381
SH,601088,2.03,753640,991207
SH,688256,0.56,730391,730391
SH,601899,0.6,691396,892384
SH,600900,0.57,688046,688046
SZ,000333,1.17,575428,637607
SZ,300502,-3.09,567181,630497
SZ,002371,1.44,563410,563861
SH,601318,-0.92,547075,929284
SH,601728,-0.6,510027,601202
SH,600028,1,479448,611883
SZ,002475,-1.86,422950,446782
SH,601166,0.11,377757,377757
SH,688012,2.71,375305,381537
SH,601658,0.41,357562,592069
SH,600183,-3.51,336222,338627
SH,600276,-0.94,334068,347590
SH,600030,-0.53,333516,427949
SH,603993,-1.61,328613,402641
SH,601998,1.56,318359,434589
SZ,002415,0.26,318242,322420
SZ,300394,1.7,317200,317910
SZ,002594,-0.38,312157,816263
SH,600000,-0.76,298753,298753
SH,603986,-1.63,291957,306480
SZ,000858,0.01,281643,281649
SH,688981,-1.29,269901,1155572
SH,688825,-4.21,266535,3958680
SZ,300059,-1.78,256784,304261
SZ,002916,-2.8,253857,260103
SH,600150,-0.47,252033,252033
SH,688008,-2.83,249559,266077
SH,601225,1.07,247223,247223
SH,601319,0,245289,305588
SH,601816,0.41,239736,239736
SH,601211,-1.6,238722,312064
SZ,002463,-1.19,237640,237832
SZ,300476,-2.38,233084,264762
SZ,300408,-4.72,231837,247573
SH,600309,0.19,229370,229370
SZ,000725,6.41,228825,239677
SZ,002938,-3.78,218997,219633
SH,600919,0.77,214894,214894
SZ,000001,-0.44,214433,214435
SZ,002142,0.84,214218,214353
SH,688072,5.07,213563,219596
SH,601601,-0.55,205214,288418
SH,601919,2.13,204797,249023
SH,603288,0.37,197652,208005
SZ,300433,5.76,194415,206504
SH,600406,-0.03,188512,189068
SZ,300274,-0.63,187392,244722
SH,601328,1.59,182768,619430
SZ,300760,0.56,182265,182436
SH,601668,0,180157,180157
SH,600025,0.94,179790,179790
SH,600176,-3.03,178364,179781
SH,600989,2.7,172701,172701
SH,601985,0.57,166551,181410
SH,601066,-1.31,165185,197253
SH,688082,5.93,161079,162828
SH,600031,1.44,160759,174429
SH,600487,0.54,160493,161327
SH,600887,-0.31,158292,159083
SZ,002352,0.55,156931,172176
SH,601869,1.87,155871,317584
SZ,002281,-1.05,155410,163616
SH,600584,-0.49,152852,152852
SZ,301165,-7.43,152557,152557
SZ,003816,0.26,152227,195430
SH,600111,-1.67,152050,152050
SZ,000338,-0.96,151220,263613
SZ,300124,0.34,149873,168359
SZ,000792,0.53,149168,149169
SZ,300604,-0.5,147346,194340
SH,600809,1.33,147030,147030
SH,601766,1.17,146940,173341
SZ,002050,1.49,146165,166637
SH,601872,0.5,145180,145180
SH,601100,-0.75,144795,144795
SH,688120,4.05,143267,143267
SH,601009,1.77,141810,141810
SZ,000063,-2.52,141410,167950
SH,601688,-1.38,139559,172413
SH,603256,-2.3,138311,142219
SH,601818,-0.32,138292,176075
SH,601229,1.06,135412,135412
SH,600690,0.74,135378,203026
SH,600999,-1.46,133967,156972
SH,600188,1.49,133654,225026
SH,600050,-0.45,133259,134437
SH,601898,2.86,131514,190527
SH,603019,-0.75,131485,131490
SZ,301200,2.7,131399,151103
SZ,002714,1.63,130990,230516
SZ,300857,-0.73,130070,130738
SZ,000568,0.31,127423,127496
SH,600346,2.86,126422,126422
SH,605117,2.96,125311,125311
SH,600019,1.74,125058,127207
SH,601600,-0.93,124772,162114
SZ,000776,-0.51,124575,165104
SH,688506,0.61,124374,124374
SH,600760,-1.27,124331,124567
SZ,000408,-0.86,123504,123505
SH,600489,-0.5,122879,122879
SH,601336,-1.03,120830,180747
SH,600522,-1.69,120443,120443
SH,600016,-0.58,120217,148422
SZ,002493,0.78,120181,128564
SH,600926,1.91,120043,120043
SH,688111,1.24,119994,119994
SZ,300014,-0.93,119693,123139
SH,688525,-1.39,119391,119391
SH,600018,0.39,118791,118961
SZ,000977,0.36,118769,118903
SZ,301308,-1.68,116174,177101
SH,600104,-0.59,115068,115068
SZ,300442,-3.65,114421,114758
SH,601698,0.37,114312,114312
SZ,000988,-1.49,112508,112566
SH,600660,0.9,112488,146563
SZ,002353,-2.12,112334,166428
SZ,000938,-4.33,112258,112258
SH,688521,-5.73,112178,112178
SZ,002028,-0.38,111430,142773
SH,600547,1.69,110638,141110
SH,600673,-2.31,110157,110451
SH,603501,-1.73,109278,113873
SH,600160,-2.05,107990,107990
SH,688347,-1.99,107858,459663
SZ,002156,2.02,107223,107233
SH,600905,-0.26,106060,106060
SZ,000657,3.48,106015,166201
SZ,000100,0.96,105420,108997
SH,601888,-0.27,105199,111952
SH,600089,-1.74,104947,104947
SH,601169,0.2,104869,104869
SZ,301217,-6.05,102972,102972
SH,600886,-0.78,102420,109982
SZ,000166,-1.31,101184,112429
SZ,002080,-3.05,100855,100855
SH,600938,2.1,100404,1596056
SH,601995,-2.1,100278,165575
SH,601939,1.26,100062,2728492
SH,601012,0.08,97302,97302
SZ,002602,1.35,96923,105106
SH,600362,-2.34,96707,161363
SH,603228,1,96129,98017
SH,688183,-2.97,96122,96122
SZ,002736,-0.79,95740,102008
SH,601633,-0.77,95355,131614
SH,601006,0.85,94150,94150
SZ,002008,-2.74,93759,100901
SZ,002600,-0.3,93168,105076
SH,601168,-0.98,92818,92818
SZ,000807,-0.51,92143,92144
SZ,002648,3.99,90323,90381
SH,600549,-0.49,90299,92255
SZ,002230,-1.8,90183,98918
SH,688271,1.27,89973,89973
SH,600795,0.6,89713,89713
SZ,300757,2.92,88844,91600
SH,601689,1.57,88803,88803
SH,688702,3.36,88478,178707
SH,601390,-0.68,88206,106466
SZ,002001,1.26,88069,89129
SH,688249,0.6,88053,98012
SH,688200,0.18,87930,87930
SZ,000538,-0.59,87760,88321
SH,601881,-1.54,87283,131760
SZ,000895,0.81,86536,86547
SH,600941,-0.28,86431,2076334
SH,688396,2.98,86347,86347
SZ,000301,2.76,85975,86012
SZ,000617,-1.73,85840,85840
SH,601727,-0.88,84399,103963
SH,603893,-6.35,83793,83804
SH,605499,-0.72,82859,89991
SZ,300498,3.19,82648,92490
SH,601868,-0.77,82045,111928
SH,600236,1.87,81740,81740
SH,600118,0.2,81592,81592
SH,688002,3.59,81397,81397
SH,601127,-2.44,80725,90305
SH,601825,-0.69,80245,82556
SZ,300620,-0.85,80107,80705
SH,603799,-2.75,79034,79282
SH,688126,3.69,78982,91847
SZ,001289,-0.31,78805,130664
SZ,300475,0.92,78117,81503
SH,600436,-1.08,77683,77683
SH,601991,-4.19,76360,114001
SH,601838,-0.16,76292,76292
SH,688585,10.26,76223,76223
SZ,002311,2.11,76102,76176
SH,688777,-0.26,76004,76389
SH,600011,0,75774,108160
SH,600482,-1.73,75374,75374
SZ,002179,-0.3,74864,75000
SH,600674,1.46,74728,74728
SZ,000630,-1.61,74435,89575
SZ,002202,1.15,74031,92966
SH,600703,4.81,73987,73987
SH,600039,-0.34,73391,73391
SH,688313,1.44,73357,73357
SH,688519,-1.26,73259,73259
SH,601958,-1.56,72889,72889
SZ,300759,2.08,72635,93977
SZ,000425,1.01,72364,94158
SZ,000636,-1.72,72128,72128
SH,688629,0.77,72016,73151
SH,688037,3.03,71930,71930
SZ,002027,0.2,71633,71633
SZ,000708,2.32,71266,71266
SH,603195,-1.15,70836,70966
SZ,002466,-1.81,70731,82115
SZ,002428,-1.22,70724,70733
SZ,002241,1.67,70716,79855
SH,688172,-0.16,70679,84172
SH,688409,2.61,70441,70441
SZ,300661,-5.12,70365,80156
SH,600988,3.51,70234,80216
SH,601179,-2.36,69815,69815
SH,688017,5.14,69812,69812
SH,600010,-0.44,69526,100402
SH,688766,0.17,69416,69416
SH,600585,0.35,69327,91979
SH,601186,-0.49,69135,81613
SH,600026,1.69,68904,98482
SZ,000426,-1.69,68896,68912
SH,601800,-0.67,68813,95175
SH,601231,-0.89,68539,68539
SH,601111,-0.67,68199,120086
SZ,300015,-1.26,68193,79697
SH,603296,-2.35,67761,128650
SH,600029,-0.39,67520,90786
SH,600415,3.19,67448,67448
SH,600958,-1.09,67225,76470
SZ,000703,3.62,66428,66763
SZ,000831,-0.47,66316,66316
SZ,001979,-0.92,66257,67350
SH,600233,2.5,65912,65912
SH,600066,2.21,65510,65510
SZ,000021,-2.34,65485,65494
SH,600023,-0.4,65301,65301
SZ,002837,-1.9,65080,73364
SH,601018,0.3,64783,64783
SH,688036,1.57,64777,64777
SZ,002851,-2.79,64755,77046
SH,688141,2.7,64657,64657
SZ,300223,-1.69,64603,73880
SZ,002625,-1.08,64336,64336
SH,601360,-2.13,64116,64116
SZ,000960,-1.71,64057,64057
SZ,300548,-1.52,63446,63575
SZ,300285,1.01,63349,74041
SH,600048,0.38,62725,62725
SH,601916,-0.33,62479,79647
SZ,001965,0.55,62447,62447
SH,600875,-1.42,62424,95382
SZ,300765,-0.08,62364,62364
SH,688019,4.22,62337,62337
SZ,002185,-1.57,62134,62148
SH,688630,4.99,62076,69033
SH,688432,13.43,61865,61865
SH,600105,-0.79,61638,61638
SZ,300666,3.14,61532,76797
SH,601669,-0.2,61175,80618
SZ,300054,0.22,60645,77772
SZ,002595,-2.69,60225,60645
SH,688147,-0.02,60222,60222
SZ,002422,-0.91,60074,73590
SZ,002304,-0.42,59729,59731
SZ,000768,-0.45,59693,59783
SH,600115,-0.84,59587,77307
SH,688048,1.22,59398,59398
SZ,000933,-0.67,59291,59329
SZ,002709,-2.16,59108,79850
SH,601061,0.17,59045,59045
SH,600580,7.4,58988,59157
SZ,000625,-0.55,58945,70679
SH,601077,1.38,58598,75297
SH,600460,2.44,58043,58043
SH,600426,0.57,57851,57859
SH,600438,-1,57535,57535
SZ,300136,-1.06,57475,67391
SH,600009,-0.29,57045,57231
SZ,002436,-1.92,57013,63840
SZ,300316,1.74,56836,60435
SH,601233,2,56802,56906
SH,600221,0,56556,57045
SH,601788,-1.42,56452,66626
SH,600219,1.03,56385,56385
SH,601901,-0.72,56308,56308
SZ,002821,0.07,56196,63948
SH,600096,3.96,55984,55984
SZ,002049,-2.8,55966,55974
SZ,301269,2.57,55730,55730
SZ,002064,-3.52,55561,55680
SH,600885,-1.39,55466,55466
SH,688469,0.53,55411,79133
SZ,300373,2.43,55407,55530
SZ,002484,-3.62,55308,57334
SZ,300450,-0.39,54954,59000
SH,688110,-1.45,54921,54921
SZ,002532,-1.98,54539,61470
