market,code,chg_pct,vol_rank,amt_rank
SH,601288,-0.14,2062318,2260890
SH,601398,0,2038268,2694431
SH,601857,0.09,1727709,1952834
SZ,300750,1.54,1703947,1850569
SH,600519,-3.63,1616468,1616468
SH,601138,3.08,1353962,1353962
SH,601988,0.34,1243517,1901053
SZ,300308,6.15,1111083,1170939
SH,600036,-0.67,788026,963398
SH,601628,2.06,782965,1062753
SH,688256,5.76,726307,726307
SH,601899,2.55,687276,887066
SH,600900,-0.49,684131,684131
SH,688041,2.78,671269,671269
SZ,000333,-0.5,568750,630207
SZ,002371,3.7,555412,555856
SH,601318,0.1,552191,937976
SH,601728,0.61,513133,604862
SH,600028,0.2,474710,605837
SZ,002475,3.99,431007,455293
SH,603259,4.8,412766,497959
SH,601166,-1.1,377334,377334
SH,688012,3.46,365403,371470
SH,601658,-0.19,356112,589667
SH,600183,0.89,348474,350967
SH,600276,0.48,337258,350909
SH,600030,0.84,335342,430292
SZ,002415,0.6,317427,321595
SH,601998,-0.12,313467,427911
SZ,002594,1.1,313377,819454
SZ,300394,7.04,311888,312587
SZ,002384,6.08,301747,398668
SH,600000,-0.65,301085,301085
SH,603986,6.35,296810,311575
SZ,000858,-1.62,281604,281611
SH,688981,2.93,273460,1170810
SZ,300059,0.56,261458,309799
SZ,002916,3.94,261204,267630
SH,600150,0.69,253237,253237
SH,601319,0.73,245289,305588
SH,601225,-0.54,244605,244605
SH,601211,0.5,242622,317162
SZ,002463,3.15,240524,240719
SZ,300476,2.48,238794,271249
SH,601816,-0.4,238757,238757
SH,600309,0.12,228931,228931
SZ,002938,3.29,227616,228277
SZ,000651,-0.02,220273,223440
SZ,000001,-0.08,215403,215406
SZ,000725,4.65,215032,225230
SH,600919,-0.33,213242,213242
SZ,002142,-0.02,212436,212570
SH,601601,0.77,206378,290053
SH,688072,4.48,203259,209001
SH,601919,3.77,200528,243832
SH,603288,-1.11,196929,207244
SH,688498,5,196014,198579
SZ,300274,1.78,188598,246298
SH,600406,1.38,188593,189148
SH,600176,4.35,183964,185425
SZ,300433,3.5,183829,195261
SZ,300760,-0.5,181248,181418
SH,601668,-0.9,180157,180157
SH,601328,0.29,179900,609710
SH,600025,-0.51,178113,178113
SH,600989,0.17,168154,168154
SH,601066,0.9,167393,199890
SH,601985,-0.1,165606,180381
SZ,301165,2.85,164818,164818
SH,600487,3.3,159634,160463
SH,600887,-1.09,158796,159589
SH,600031,-0.26,158471,171947
SZ,002281,4.3,157070,165363
SZ,002352,-0.66,156067,171228
SH,600111,0.28,154653,154653
SH,600584,9.07,153621,153621
SH,601869,6.01,153003,311739
SZ,000338,3.91,152706,266205
SH,688082,4.29,152061,153712
SZ,003816,0.26,151834,194925
SZ,300124,1.26,149367,167790
SZ,000792,-0.8,148374,148376
SZ,300604,6.9,148099,195334
SH,601100,2.39,145908,145908
SH,601766,1.53,145237,171332
SH,600809,-3.7,145103,145103
SZ,000063,2.77,145075,172303
SH,601872,4.93,144453,144453
SZ,002050,1.88,144025,164197
SH,603256,4.38,141575,145575
SH,601688,-0.09,141532,174850
SH,601009,0.81,139337,139337
SH,601818,-0.32,138756,176666
SH,688120,5.32,137688,137688
SH,600999,1.55,135971,159320
SH,600690,-1.23,134378,201525
SH,601229,0.11,133991,133991
SH,600050,-0.45,133879,135062
SH,603019,1.34,132494,132500
SH,600188,-0.44,131686,221714
SZ,300857,1.19,131038,131712
SH,688361,13.68,129801,129801
SZ,002714,0,128891,226821
SZ,301200,3.72,127946,147133
SH,601898,-0.56,127853,185224
SZ,000568,-3.42,127026,127099
SH,601600,3.02,125960,163658
SZ,000776,2.12,125225,165965
SZ,000408,2.25,124586,124588
SH,688506,-0.85,123614,123614
SH,600489,4.99,123510,123510
SH,600019,-0.16,122917,125029
SH,600346,1.93,122903,122903
SH,600522,0.98,122525,122525
SH,601336,1.33,122102,182649
SH,688525,6.11,121089,121089
SH,600016,-0.28,120926,149298
SZ,300014,1.35,120834,124313
SZ,002493,1.43,119247,127565
SH,688521,9.18,119015,119015
SZ,300442,2.38,118774,119123
SH,688111,-0.38,118528,118528
SZ,000977,2.39,118344,118477
SH,600018,0.39,118326,118495
SZ,301308,3.15,118169,180143
SH,600926,-0.17,117796,117796
SZ,000938,2.7,117349,117349
SH,600104,-0.29,115757,115757
SZ,002353,10,114780,170052
SZ,000988,3.52,114227,114285
SH,601698,1.77,113889,113889
SH,600673,3.07,112769,113069
SZ,002028,10,111863,143328
SH,600660,-1.07,111486,145258
SH,600160,0.17,110258,110258
SH,688347,6.59,110060,469047
SZ,301217,7.45,109612,109612
SH,600547,2.59,108795,138759
SH,600905,-0.26,106346,106346
SH,601888,-0.05,105492,112263
