market,code,chg_pct,vol_rank,amt_rank
SH,601288,2.09,2030393,2225892
SH,601398,2.46,2024788,2676611
SH,601857,3.34,1551214,1753341
SZ,300750,3.22,1532490,1665548
SH,600519,0.59,1515261,1515261
SH,601138,-5.09,1247995,1247995
SH,601988,1.9,1243517,1901053
SZ,300308,-0.53,1207703,1213465
SH,688256,-1.93,862552,862552
SH,688041,-3.05,795365,795365
SH,601628,0.05,779633,1058231
SH,600036,1.3,770697,942213
SH,601088,3.95,703013,924621
SH,600900,1.46,695876,695876
SZ,300502,-2.8,637582,708756
SH,601899,-1.32,563459,727256
SZ,002371,-4.86,552555,552997
SZ,000333,1.75,551758,611892
SH,601318,-0.07,527034,895242
SH,600028,2.31,461445,588907
SH,601728,0.89,441713,520676
SZ,002475,-5.25,431227,454787
SH,688012,-6.18,384068,390445
SH,601166,0.63,369080,369080
SH,603986,-9.99,368205,386521
SH,601658,2.02,365540,605279
SH,600276,-0.08,355310,369692
SH,600030,-1.26,341430,415568
SZ,002384,-2.23,328392,433871
SH,688981,0.14,326429,1397552
SH,600183,-9.99,321941,326595
SH,600000,1.1,305081,305081
SZ,002594,-3.29,303440,793470
SZ,002415,-3.01,302240,306198
SH,601998,2.38,298385,407323
SH,603259,-2.76,296522,357723
SH,603993,-2.96,296485,363275
SH,688008,-5.93,288641,307746
SZ,000858,-1.39,282031,282038
SZ,300394,-5.08,280064,280691
SZ,300059,-1.28,266131,315336
SZ,002916,-7.3,262513,268972
SH,600150,-7.52,257753,257753
SH,601319,-0.27,249904,311337
SH,601211,0,246993,322609
SZ,000725,-9.87,241911,253383
SH,688072,2.48,241035,247845
SZ,002463,-4.05,238794,238987
SZ,300476,0.29,236025,268104
SH,601225,4.67,232583,232583
SH,601816,0.21,228483,228483
SZ,002938,-2.45,221955,222599
SZ,000651,1.36,214088,217167
SZ,002142,5.05,212832,212966
SH,600309,-2.33,210055,210055
SZ,300408,-13,206651,219698
SH,600919,1.35,206085,206085
SZ,000001,0.77,204341,204344
SH,601601,-0.19,202339,284377
SH,600176,-9.99,199096,200677
SZ,300433,-8.79,197794,210094
SH,688498,-2.03,193690,196225
SH,601668,0.87,191313,191313
SH,603288,1.9,191062,201069
SH,688082,1.81,190960,193034
SH,600025,1.77,182398,182398
SH,600584,-1.15,178834,178834
SH,601919,1.07,177424,215739
SH,601328,2.27,176250,597339
SH,600406,-1.4,174018,174530
SH,601066,-1.82,173759,207492
SZ,300760,-1.54,168833,168978
SZ,002281,-7.68,168197,178340
SH,601985,-1,166551,181410
SH,688525,-12.27,160705,160705
SZ,000063,-1.64,160541,190672
SH,688120,-0.83,159244,159244
SZ,300604,-7.88,158833,205869
SH,600031,-0.89,158386,171855
SH,600887,0.88,157978,158767
SZ,000988,-2.61,154697,154777
SH,601869,-8.48,154327,314438
SH,603019,-2.36,153548,153554
SZ,002050,-3.69,153263,175053
SZ,002352,-0.11,152593,168437
SZ,003816,0,151834,194925
SH,600989,1.72,151581,151581
SH,600999,-0.87,151260,177235
SZ,301308,-10.41,148353,222678
SZ,300124,-3.66,147270,165435
SH,601688,-1.72,144893,179003
SH,601818,0.65,142933,181983
SH,601100,-4.25,142502,142502
SH,688521,-7.59,141892,141892
SH,600111,-7.75,141747,141747
SH,688347,-6.21,141440,602783
SH,600522,-9.99,141023,141023
SH,601698,-1.72,136490,136490
SH,688361,-8.3,135734,135734
SH,601009,1.88,134021,134021
SH,600809,-0.67,133647,133647
SH,601766,-0.72,132830,156696
SZ,000338,-3.94,131162,229374
SH,600050,0,130160,131311
SZ,000792,-3.18,130119,130120
SZ,301200,-9.04,129953,149441
SH,601229,1.8,128876,128876
SH,601336,-2.18,128463,192164
SZ,300857,-6.01,127182,127836
SZ,300442,-5.5,127168,127542
SZ,002714,1.26,126693,222953
SH,600690,-0.73,126311,189428
SZ,000776,-2.43,125284,166043
SH,688506,-3.35,124044,124044
SH,603501,-0.97,123331,128517
SZ,000977,-6.16,123214,123352
SH,601872,-3.93,119988,119988
SH,600016,0.6,119153,147109
SZ,001309,-9.99,118846,163324
SH,600018,0.79,118558,118728
SH,600019,0,117349,119366
SH,601898,0.71,116780,169181
SH,600104,-1.77,114263,114263
SZ,301165,-1.06,114148,114148
SH,600673,2.07,113819,114122
SH,600160,-3.4,113227,113227
SZ,000568,-1.69,113051,113116
SZ,002008,-9.99,112195,120742
SH,600926,1.85,111780,111780
SZ,002080,-6.18,111595,111595
SH,600760,-2.52,111286,111498
SZ,002156,2.82,110698,110709
SZ,300014,-5.71,109427,112577
SH,600118,2.38,108978,108978
SH,601600,-2.39,107607,139813
SH,605117,0.38,107359,107359
SH,600188,-0.98,107185,180463
SH,600905,-0.52,106346,106346
SZ,000408,-2.57,105916,105917
SH,600346,-4.93,105657,105657
SH,600015,0.74,105095,108699
SZ,000938,-4.57,104822,104822
SH,688111,-3.46,104700,104700
SH,601169,1.02,104658,104658
SH,600886,1.82,104209,111903
SH,601995,-2.51,103084,170209
SH,688396,-1.95,103003,103003
SH,688249,-5.87,102267,113278
SZ,002493,-0.72,101505,108585
SH,600660,-0.29,101431,132157
SZ,000166,-0.21,101410,112680
SH,688126,-2.46,100895,117328
SZ,000657,-7.35,100557,157702
SZ,301217,-8.91,99739,99739
SH,601888,-3.33,99518,105905
SZ,002600,-10.02,98204,110757
SH,688200,-3.49,97744,97744
SZ,300475,-19.99,97568,101797
SH,601939,3.05,97184,2650012
SH,600089,-4.38,96913,96913
SZ,000100,-6.24,96568,99844
SZ,002028,3.94,96330,123420
SZ,002736,-0.59,96028,102315
SH,600489,-3.19,95444,95444
SZ,002353,-8.83,95246,141118
SZ,002602,-0.84,94612,102600
SZ,300033,-4.96,94495,162224
SH,601689,-5.8,93895,93895
SH,688183,-8.96,93785,93785
SH,601881,-0.53,93223,140726
