market,code,chg_pct,vol_rank,amt_rank
SH,601288,-3.76,2116589,2320388
SH,601398,-3.63,2067926,2733636
SH,601857,-1.89,1755235,1983947
SZ,300750,0.67,1691423,1836967
SH,600519,-1.96,1665396,1665396
SH,601988,-3.31,1228763,1878498
SH,601138,7.07,1187669,1187669
SZ,300308,13.02,1132127,1193118
SH,600036,-2.64,810511,990888
SH,601628,-0.67,796500,1081125
SH,601088,-1.48,710434,934381
SH,600900,-2.68,691717,691717
SH,688256,5.84,683583,683583
SH,601899,-1.25,662142,854626
SH,688041,5.92,642587,642587
SZ,000333,-1.07,584920,648133
SH,601318,-2.76,575750,977994
SZ,300502,14.1,563983,626941
SZ,002371,7.5,499905,500305
SH,601728,-2.15,491396,579240
SH,600028,-3.21,484185,617929
SZ,002475,3.03,405370,427517
SH,601166,-2.56,393841,393841
SH,603259,10,349598,421754
SZ,002415,1.5,348456,353031
SH,600030,-0.77,341552,415716
SH,600276,0.55,339937,353696
SH,603993,-0.3,333851,409059
SZ,002594,-3.75,316933,828753
SH,601998,-2.02,315506,430694
SH,600000,-2.48,312742,312742
SH,688012,4.11,303934,308981
SZ,000858,-1.42,298644,298651
SH,600183,10,270671,272607
SZ,300059,0.05,267333,316760
SH,600150,-1.44,260311,260311
SH,601319,-2.17,254874,317528
SH,601816,-1.14,252457,252457
SH,688825,1.6,251585,3736635
SZ,002384,10,248276,328023
SH,688981,4.76,244047,1044846
SH,601211,-1.57,243079,317495
SH,603986,5.06,239307,251211
SH,688008,7.18,233051,248477
SH,601225,-1.07,231904,231904
SH,600309,-2.04,230904,230904
SZ,300394,16.79,229432,229946
SZ,300408,6.69,227425,241784
SZ,000651,-1.02,223862,227081
SZ,000001,-1.28,222582,222586
SZ,002916,10,221076,226515
SH,601601,-3.08,218768,307466
SZ,002463,10,214913,215086
SH,600919,-2.04,210123,210123
SZ,002142,-2.06,208674,208806
SH,603288,-1.78,207633,218507
SZ,002938,10,205664,206261
SH,600406,-0.39,199964,200553
SZ,000725,4.24,199824,209300
SH,601919,-1.96,193496,235282
SH,601668,-2.3,192140,192140
SZ,300760,-1.69,186822,186983
SH,600025,-1.77,185193,185193
SH,601328,-2.33,184593,625616
SZ,300476,7.34,175808,199702
SH,688072,3.29,172822,177704
SZ,300274,2.75,169214,220984
SH,600989,0.48,168814,168814
SH,601985,-1.32,168250,183261
SH,601066,1.06,167783,200355
SH,600887,-2.53,166349,167179
SH,600031,-3.01,166013,180130
SZ,002352,-1.87,165042,181074
SZ,300433,4.78,164398,174621
SH,688498,14.65,161603,163718
SZ,003816,-2.15,160094,205530
SZ,300124,0.36,155080,174207
SH,600809,-1.3,148994,148994
SH,601766,-3.04,146697,173054
SZ,000792,0.99,146417,146418
SH,600111,1.15,146374,146374
SH,601818,-2.18,145253,184938
SH,600176,6.99,144725,145874
