market,code,chg_pct,vol_rank,amt_rank
SH,601288,-3.33,2126166,2330887
SH,601398,-3.13,2078710,2747892
SH,601857,-1.62,1760093,1989438
SZ,300750,-0.02,1679707,1824244
SH,600519,-1.67,1670222,1670222
SH,601988,-2.98,1232978,1884943
SH,601138,4.54,1159689,1159689
SZ,300308,8.92,1091071,1149849
SH,600036,-2.37,812780,993662
SH,601628,-1.31,791294,1074059
SH,601088,-2.12,705816,928308
SH,600900,-1.92,697100,697100
SH,688256,2.87,664420,664420
SH,601899,-1.28,661936,854360
SH,688041,2.61,622458,622458
SZ,000333,-1.03,585195,648438
SH,601318,-1.97,580441,985961
SZ,300502,9.62,541833,602319
SH,601728,-0.14,501488,591136
SH,600028,-2.26,488923,623976
SZ,002371,2.71,477615,477997
SZ,002475,1.86,400755,422650
SH,601166,-2.19,395322,395322
SH,601658,-1.74,366265,606480
SH,603259,10,349598,421754
SZ,002415,0.05,343480,347990
SH,600030,-0.41,342770,417198
SH,600276,1.23,342233,356086
SH,603993,-1.45,330010,404352
SZ,002594,-1.69,323697,846441
SH,601998,-2.14,315098,430137
SH,688012,2.11,298102,303052
SZ,000858,-1.69,297829,297836
SH,600183,8.54,267077,268988
SZ,300059,-0.24,266532,315811
SH,601319,-1.35,257004,320182
SH,601816,-1.33,251967,251967
SZ,002384,10,248276,328023
SH,601211,-1.57,243079,317495
SH,688825,-2.63,241093,3580803
SH,603986,3.58,235938,247674
SH,688981,1.2,235748,1009319
SH,600309,-2.45,229933,229933
SH,601225,-2.22,229190,229190
SH,688008,4.54,227316,242362
SZ,000651,-1.43,222924,226129
SZ,000001,-1.37,222388,222392
SH,601601,-2.78,219452,308428
SZ,002916,8.27,217605,222959
SZ,300408,1.75,216898,230592
SH,600919,-1.62,211040,211040
SZ,002463,7.38,209798,209967
SZ,002142,-1.63,209598,209730
SH,603288,-1.46,208300,219209
SZ,002938,6.41,198962,199540
SH,600406,-1.23,198282,198866
SZ,000725,2.21,195934,205226
SH,601668,-1.67,193379,193379
SH,601919,-2.22,192994,234671
SZ,300760,-1.37,187440,187601
SH,600025,-1.37,185938,185938
SH,601328,-2.33,184593,625616
SH,688072,1.72,170187,174995
SH,601985,-1.21,168439,183467
SZ,300274,1.42,167024,218123
SH,600989,-0.6,166981,166981
SH,600887,-2.17,166978,167812
SH,601066,0.04,166094,198339
SH,600031,-3.6,164996,179027
SZ,002352,-2.1,164658,180653
SZ,300433,3.2,161913,171981
SH,688498,14.46,161335,163447
SZ,003816,-2.15,160094,205530
SZ,300124,-0.63,153537,172474
SH,600809,-1.4,148848,148848
SH,601766,-2.4,147670,174202
SH,600111,-0.24,144350,144350
SZ,000792,-0.54,144194,144195
SH,601100,-2.83,143092,143092
SH,601688,-0.14,142993,176656
SH,600176,5.14,142223,143352
SZ,000338,0.6,142001,247542
SH,600690,-1.56,141068,211559
SZ,002050,-0.33,140887,160620
SH,601009,-2.14,140821,140821
SH,600050,-0.43,139147,140377
SH,601872,0.65,138398,138398
SZ,000063,0.82,138147,164075
SH,601229,-1.14,134560,134560
SZ,000568,-1.42,131071,131146
SH,600999,-0.33,130702,153146
SH,601336,-0.9,129923,194348
SH,600019,-2.44,127628,129821
SH,600016,-1.63,127309,157179
SH,688111,-0.15,126945,126945
SH,600104,-2.12,126563,126563
SH,601600,0.53,125828,163487
SZ,002714,-2.43,124593,219258
SH,603019,1.57,124360,124365
SZ,000408,-1.75,123190,123191
SZ,000776,-0.18,122627,162522
SH,600760,-0.31,122265,122497
SH,601898,-1.25,121905,176605
SH,688082,2.41,120838,122150
SH,600018,-1.88,120650,120823
SH,600487,3.8,120646,121273
SZ,301165,0.3,119538,119538
SZ,300604,6.89,118991,154227
SH,688506,-0.24,117285,117285
SH,600926,-1.45,117216,117216
SH,600346,-3.26,116427,116427
SZ,300014,0.44,115659,118988
SH,600660,-0.89,114751,149512
SH,600584,4.69,114272,114272
SH,688120,1.16,113956,113956
SH,601869,5.23,112158,228518
SH,600886,-1.5,111738,119987
SH,600905,-1.01,111492,111492
SH,600188,-1.78,110941,186786
SH,688361,3.97,110896,110896
SZ,300857,10.71,110386,110953
SZ,002493,-3.58,110376,118075
SH,601698,0.43,109792,109792
SH,601169,-1.33,109098,109098
SZ,300442,5.22,108416,108735
SZ,000977,3,108267,108388
SH,600489,-1.23,107901,107901
SH,600160,0.25,107882,107882
SH,600089,-1.02,106917,106917
SH,603501,-0.35,106074,110535
SH,600015,-1.98,105864,109495
SH,603256,3.85,105356,108333
SZ,000166,-0.42,105015,116686
SH,688521,7.83,104394,104394
SH,605117,0.94,104023,104023
SH,601995,0.14,103201,170402
SZ,301200,8.03,102567,117949
SZ,300033,0.97,102294,175613
SH,601633,-2.51,101202,139164
SH,688525,3.49,100920,100920
SH,601012,-1.42,99197,99197
SZ,002736,-0.76,98816,105285
SH,600547,-1.69,98313,125390
SZ,000938,3.5,97986,97986
SH,601939,-2.38,97855,2668324
SH,601006,-1.59,97725,97725
SZ,002353,6.07,95840,141999
SZ,000100,0.85,95361,98596
SH,688347,6.09,94953,404664
SH,600893,-1.02,94905,94922
SH,688271,-1.28,94737,94737
SH,600938,-0.52,94723,1505749
SZ,002230,0.28,94015,103121
SZ,301308,3.69,93459,140283
SZ,002602,-0.5,93456,101347
SH,601390,-2.15,92067,111127
SZ,000538,-0.93,91838,92425
SH,600673,4.48,91668,91912
SH,601881,0.16,91195,137664
SH,601127,-3.85,90785,101558
SZ,002001,-1.93,90741,91834
SZ,000617,-0.68,90517,90517
SZ,002600,0.4,90071,101584
SH,600795,-1.16,90070,90070
SH,601168,0.27,89601,89601
SZ,000807,0.55,89542,89543
SZ,000895,-1.59,89273,89284
SH,600362,-0.64,88634,147893
SH,600941,-1.54,87966,2112859
SH,601727,-1.13,87553,107848
SH,688183,7.95,86163,86163
SH,600236,-1.17,86076,86076
SH,605499,-3.18,84840,92142
SH,601868,-1.13,84639,115467
SZ,002648,-0.82,84398,84452
SH,601689,-0.94,82999,82999
SH,600436,-0.77,82673,82673
SZ,002008,6.4,82671,88968
SZ,001289,-1.02,82587,136934
SH,601825,-0.56,81651,84003
SZ,002156,4.3,81260,81267
SZ,300498,-2.07,81161,90826
SZ,000301,-0.98,79433,79467
SZ,002311,-2.07,79394,79470
SH,600011,-1.09,79293,113183
SH,603893,0.79,78447,78457
SH,601991,0.65,77104,115112
SH,601838,-1.56,77055,77055
SZ,002027,-1.3,76110,76110
SZ,000425,-3.54,75875,98726
SH,603195,-0.23,75805,75943
SH,603799,0.76,75240,75476
SH,600039,-2.03,75130,75130
SH,600674,-2.09,74923,74923
SH,603228,1.82,74733,76201
SH,600549,3.6,74729,76347
SH,688777,1.86,74390,74767
SZ,000657,5.52,73603,115389
SH,601800,-1.56,73268,101336
SZ,002241,-0.21,72949,82377
SZ,002080,7.29,72629,72629
SZ,000708,-2.37,72376,72376
SH,601186,-1.86,72355,85415
SZ,002179,0.94,72096,72227
SH,600118,1.64,71836,71836
SZ,300015,-0.76,71535,83603
SH,601179,0.22,71455,71455
SH,688249,2.4,71109,78766
SH,601111,-1.92,71109,125210
SZ,300757,6.44,71082,73287
SH,600585,-2.56,70958,94143
SH,688396,2.28,70422,70422
SH,600066,-2.19,69916,69916
SH,600010,-0.88,69840,100854
SH,600029,-2.08,69406,93323
SH,601958,1.46,69404,69404
SZ,000630,-0.15,69309,83407
SZ,301217,6.82,68775,68775
SZ,002466,1.49,68518,79545
SH,688036,-6.05,68127,68127
SH,688702,4.04,68004,137354
SH,688200,5.84,67964,67964
SH,688126,2.12,67102,78032
SH,601360,0.84,67056,67056
SZ,001965,-2.18,66728,66728
SZ,002625,-0.76,66253,66254
SH,688002,2.17,66159,66159
SH,601916,-0.97,65280,83218
SH,600233,-1.56,64337,64337
SZ,002202,-0.87,64142,80548
SH,601669,-1.2,63789,84064
SZ,002304,-1.51,63239,63241
SZ,000625,-2.17,63161,75735
SZ,300475,4.46,63010,65741
SH,600703,3.19,62912,62912
SH,600115,-1.85,62822,81504
SH,600988,-3.62,62313,71170
SZ,002460,0.99,61651,106722
SZ,300620,17.49,61529,62046
