market,code,chg_pct,vol_rank,amt_rank
SH,601288,-5.05,2154898,2362385
SH,601398,-4.04,2108368,2787097
SH,601857,-2.92,1771428,2002249
SZ,300750,-1.62,1684138,1829055
SH,600519,-2.29,1663171,1663171
SH,601988,-4.22,1239301,1894609
SH,601138,6.6,1138059,1138059
SZ,300308,12.67,1080449,1138655
SH,601628,-2.03,810660,1100345
SH,600036,-3.37,808242,988114
SH,688256,12.72,738244,738244
SH,601088,-3.56,726760,955853
SH,600900,-3.01,699791,699791
SH,601899,1.04,680683,878557
SH,688041,7.04,680287,680287
SZ,000333,-3.27,592082,656084
SH,601318,-2.5,579908,985056
SZ,300502,13.98,530507,589729
SZ,002371,7.83,522340,522757
SH,600028,-1.51,491765,627603
SH,601728,-4,483633,570089
SZ,002475,3.74,443387,467611
SH,601166,-2.76,392994,392994
SH,601658,-2.67,368441,610083
SH,688012,8.38,353833,359708
SH,600276,-1.09,344785,358741
SH,603993,2.22,338391,414622
SZ,002415,3.09,332173,336534
SZ,002594,-1.22,330043,863034
SH,601998,-3.52,311837,425685
SH,600000,-4.11,310077,310077
SZ,000858,-0.87,302253,302261
SH,603986,10,272885,286459
SZ,300059,1.55,271072,321191
SH,688825,12.62,268111,3982088
SH,600183,10,265509,267409
SH,688981,7.44,264222,1131225
SH,600150,1.04,263321,263321
SH,601319,-2.15,257714,321066
SH,601211,-1.36,253337,330893
SH,688008,11.85,251963,268640
SH,601816,-2.87,247564,247564
SZ,002384,10,246738,325990
SH,601225,-2.42,234037,234037
SH,600309,-2.98,232500,232500
SZ,000651,-1.61,230710,234027
SZ,300408,14,224452,238623
SZ,000001,-2.4,219865,219869
SH,601601,-2.64,218562,307178
SH,600919,-2.53,211407,211407
SH,603288,-2.16,210302,221316
SZ,002916,10,208052,213171
SZ,002142,-4.46,207420,207551
SZ,002463,10.01,204222,204387
SH,688072,11.98,203225,208966
SZ,000725,6.34,201593,211153
SZ,300394,14.68,199828,200275
SH,600406,-0.44,193878,194449
SZ,002938,9.73,192838,193398
SH,601919,-2.22,192743,234366
SH,601668,-1.26,192553,192553
SZ,300760,-1.95,191958,192123
SH,600025,-2.16,184820,184820
SH,601328,-4.36,182507,618546
SZ,300476,13.07,176448,200429
SH,600031,-2.53,172030,186659
SH,600887,-2.52,169873,170721
SH,600989,-3.01,169841,169841
SH,601985,-1.31,169005,184084
SZ,300274,2.6,168929,220610
