market,code,chg_pct,vol_rank,amt_rank
SH,601288,-2.11,2065510,2264390
SH,601398,-1.95,2024788,2676611
SZ,300750,2.46,1724481,1872870
SH,601857,-2.02,1722851,1947343
SH,600519,-1.51,1635357,1635357
SH,601138,9.99,1308123,1308123
SH,601988,-1.54,1207686,1846277
SZ,300308,-6.95,1055453,1112312
SH,600036,-0.91,802879,981556
SH,601628,1.04,792335,1075472
SH,688256,6.9,724158,724158
SH,601088,-0.34,709115,932646
SH,601899,5.79,700049,903552
SH,600900,-2.04,678259,678259
SH,688041,5.2,673314,673314
SZ,000333,0.08,586588,649980
SH,601318,0.13,575644,977813
SZ,300502,-4.45,536829,596756
SZ,002371,6.59,530969,531393
SH,600028,-2.34,471867,602209
SZ,002475,0.56,408666,430993
SH,601166,-1.18,388127,388127
SH,603259,4,363572,438612
SH,601658,-1.19,359738,595671
SH,603993,6.31,356201,436444
SZ,002415,-0.48,347732,352298
SH,600030,0.46,342526,416902
SH,600276,0.09,341085,354891
SH,688012,12.62,337165,342764
SZ,002594,-0.67,315643,825380
SH,600000,-1.59,308079,308079
SH,601998,-2.44,307761,420121
SH,600183,9.79,297176,299302
SZ,000858,-1.93,292627,292634
SZ,300059,1.2,270938,321032
SH,600150,1.91,264450,264450
SZ,002384,5.9,262916,347364
SH,603986,7.44,255698,268417
SH,601319,0.28,254519,317086
SH,688981,3.49,250605,1072958
SH,601816,-1.74,247564,247564
SH,688825,-0.88,245461,3645677
SZ,300408,7.33,242794,258124
SH,601211,0.06,242539,316790
SH,688008,4.11,242232,258266
SZ,300394,1.23,233568,234091
SH,600309,0.96,232751,232751
SZ,002916,5.1,232344,238061
SH,601225,-0.12,231614,231614
SZ,002463,3.83,223142,223322
SZ,000651,-0.9,221709,224896
SH,601601,0.82,219315,308236
SZ,000001,-1.91,217731,217734
SH,600919,1.13,212692,212692
SZ,002938,3.04,211926,212541
SZ,000725,5.33,209727,219673
SZ,002142,0.19,208278,208409
SH,603288,-1.17,205131,215874
