market,code,chg_pct,vol_rank,amt_rank
SH,601288,-0.45,2055933,2253891
SH,601398,0.13,2040964,2697995
SH,601857,-0.08,1724470,1949173
SZ,300750,-0.37,1671784,1815638
SH,600519,-3.79,1613880,1613880
SH,601138,1.5,1333126,1333126
SH,601988,0.51,1245624,1904275
SZ,300308,1.91,1066652,1124115
SH,600036,-0.51,789263,964911
SH,601628,-0.32,764640,1037880
SH,601088,0.76,743086,977326
SH,601899,2.92,689748,890257
SH,688256,0.27,688609,688609
SH,600900,-0.27,685599,685599
SH,688041,-0.3,651070,651070
SZ,000333,-0.17,570609,632267
SH,601318,-0.26,550166,934535
SH,601728,0.76,513909,605777
SH,600028,-0.19,472815,603418
SZ,002475,-0.43,412621,435871
SH,603259,-0.91,390209,470747
SH,601166,-0.32,380297,380297
SH,601658,-0.19,356112,589667
SH,600183,1.95,352115,354635
SH,688012,-0.97,349715,355522
SH,600276,-1.05,332091,345533
SH,600030,-0.28,331567,425449
SH,603993,2.11,328788,402855
SZ,002415,0.37,316704,320862
SH,601998,0,313875,428468
SZ,300394,6.91,311518,312216
SZ,002594,0.12,310343,811522
SH,600000,-0.43,301751,301751
SZ,002384,4.73,297921,393612
SH,603986,1.51,283307,297400
SZ,000858,-1.85,280944,280951
SH,688981,-1.3,262203,1122612
SZ,300059,-0.71,258119,305843
SZ,002916,1.7,255579,261868
SH,688825,2.03,253521,3765394
SH,600150,-0.38,250528,250528
SH,601225,1.5,249646,249646
SH,601319,-0.43,242450,302050
SH,688008,-0.13,242244,258278
SH,601816,-0.19,239247,239247
SZ,300408,-1.61,237465,253583
SZ,002463,0.84,235140,235330
SZ,300476,0.8,234883,266806
SH,600309,0.01,228681,228681
SZ,002938,0.35,221123,221765
SZ,000651,0.3,220991,224168
SH,600919,0,213976,213976
SZ,002142,-0.18,212106,212239
SZ,000725,0.34,206190,215968
SH,601601,-0.36,204051,286782
SH,603288,-1.11,196929,207244
SH,601919,1.82,196761,239251
SH,688072,0.28,195089,200600
SH,688498,3.36,192941,195466
SH,600406,0.82,187551,188104
SZ,300274,-0.62,184137,240472
SH,601668,0,181810,181810
