SH,601288,-0.61,2062318,2260890
SH,601398,-0.65,2027484,2680175
SH,601857,1.22,1750378,1978457
SZ,300750,-0.64,1642219,1783529
SH,600519,-0.04,1634957,1634957
SH,601138,0.56,1362297,1362297
SH,601988,-0.34,1216117,1859166
SZ,300308,3.16,1093513,1152423
SH,600036,-0.3,801434,979791
SH,601628,-0.3,791919,1074907
SH,688256,-0.17,732590,732590
SH,601088,-0.26,723132,951082
SH,601899,0.93,717354,925889
SH,688041,1.72,688144,688144
SH,600900,-0.28,677036,677036
SZ,000333,-1.65,577590,640007
SH,601318,-0.42,567862,964594
SZ,300502,4.2,551365,612915
SZ,002371,1.29,545355,545791
SH,600028,0.2,482290,615511
SH,601728,-1.42,482081,568259
SZ,002475,2.83,421045,444049
SH,601166,-0.69,388338,388338
SH,603259,6.42,375592,453113
SH,603993,1.57,361265,442648
SH,601658,-0.19,359738,595671
SH,688012,0.94,343902,349612
SH,600276,3.01,342425,356285
SH,600030,-0.42,338508,434355
SH,600183,10,337597,340012
SZ,002415,-0.82,335972,340383
SZ,002594,-0.57,310065,810792
SH,600000,-0.64,307413,307413
SH,601998,-1.05,304500,415669
SZ,000858,-0.18,288552,288559
SH,603986,6.99,275372,289070
SZ,002384,4.85,272814,360442
SZ,300059,-1.24,263861,312647
SH,600150,0.09,262870,262870
SZ,300394,3.61,254052,254620
SH,688981,1.6,252225,1079892
SZ,002916,6.66,251012,257188
SH,601319,-0.97,250259,311779
SH,601816,-0.19,248053,248053
SH,688008,3.23,246239,262538
SH,601225,0.56,242569,242569
SH,601211,0.62,242539,316790
SZ,002463,5.89,238621,238814
SH,600309,0.6,236100,236100
SH,688825,0.6,235374,3495864
SZ,002938,8.13,234503,235184
SZ,300476,8.07,233888,265676
SZ,300408,-2.45,231613,246236
SZ,000651,-0.26,221653,224840
SZ,000001,-0.79,216955,216958
SH,601601,-0.78,215071,302271
SZ,000725,2.01,215032,225230
SH,600919,-0.76,213976,213976
SZ,002142,-0.97,207420,207551
SH,603288,-0.89,201377,211925
SH,688072,1.25,195216,200731
SH,601919,0.78,194501,236503
SH,600406,-0.69,192196,192762
SH,601668,-0.87,187181,187181
SZ,300433,4.91,181543,192832
SZ,300760,-0.15,181116,181272
SH,601328,-0.28,180421,611477
SH,600025,-0.71,180349,180349
SH,600176,6.38,172287,173656
SH,600989,-0.12,171894,171894
SH,688498,3.9,170206,172433
SH,601066,-0.65,167458,199968
SH,601985,-0.56,165795,180587
SH,600031,-1.71,164573,178567
SH,600887,-0.75,164397,165218
SZ,002352,-1.27,159763,175282
SH,600111,5.25,159461,159461
SZ,300124,1.33,154815,173909
SZ,003816,-1.76,153014,196440
SZ,000792,0.84,152237,152239
SZ,002281,10,151793,159808
SZ,000338,1.46,147750,257565
SH,601872,1.62,146714,146714
SH,600487,5.54,145403,146158
SH,600809,-0.43,145261,145261
SZ,002050,0.13,143065,163103
SZ,000408,3.72,141232,141234
SH,601818,-0.64,141077,179620
SH,601688,-1.53,140217,173226
SH,601100,-0.51,140183,140183
SZ,000063,-0.48,139074,165175
SH,601009,-0.61,138596,138596
SH,601869,3.75,138387,281960
SZ,300604,1.31,138124,182177
SH,600584,1.36,137606,137606
SH,603256,4.92,137290,141170
SH,600690,-0.85,137129,205651
SH,688082,2.31,136330,137810
SH,600999,0.61,134413,157494
SH,600050,-2.04,132949,134124
SH,601229,-0.53,131434,131434
SZ,301165,-1.74,130407,130407
SH,603019,0.73,129393,129398
SH,601600,1.46,128733,167261
SZ,000568,0.06,128070,128144
SH,601898,-2.17,127121,184163
SZ,002714,0.7,126758,223069
SH,688120,4.26,126557,126557
SH,601336,-0.4,125377,187547
SH,600016,0.28,125181,154552
SH,600188,-1.45,124950,210372
SH,600346,1.55,124733,124733
SZ,002493,1.07,124010,132660
SH,688111,0,123929,123929
