market,code,chg_pct,vol_rank,amt_rank
SH,601288,-0.62,2020816,2215393
SH,601398,-0.39,2014003,2662355
SH,601857,0,1619221,1830210
SZ,300750,3.82,1608734,1748411
SH,600519,2.48,1556314,1556314
SZ,300308,-0.8,1303602,1309821
SH,601138,-1.61,1280738,1280738
SH,601988,-0.5,1230871,1881720
SH,688256,-4.4,847467,847467
SH,601628,2.58,827111,1122674
SH,600036,1.21,776267,949023
SH,688041,-4.29,758199,758199
SH,601088,0.37,718679,945226
SZ,300502,-1.5,702677,781118
SH,600900,0.35,701014,701014
SH,601899,-0.3,596834,770333
SZ,000333,1.31,564596,626129
SZ,002371,-3.62,540983,541415
SH,601318,1.85,538546,914798
SH,600028,-0.19,475657,607046
SH,601728,1.57,453358,534402
SZ,002475,-2.08,442288,466452
SH,603986,-0.86,386990,406240
SH,601166,1.26,373948,373948
SZ,002384,2.68,370647,489699
SH,688012,-3.27,369341,375474
SH,600183,3.92,368035,373338
SH,601658,0.4,366991,607681
SH,600276,4.52,365517,380312
SZ,002594,2.59,322581,843523
SH,603993,-0.15,317438,388949
SZ,002415,1.67,308844,312889
SH,688981,-4.33,307933,1318364
SH,600000,0.44,306414,306414
SH,601998,0.41,300831,410661
SZ,000858,3.76,295616,295623
SH,688008,-5.23,292877,312262
SZ,300394,-4.2,285158,285796
SZ,002463,0.83,265867,266082
SZ,300059,1.07,264529,313438
SH,601319,2.37,260199,324162
SH,600150,0.68,255871,255871
SZ,002916,-7.85,250533,256698
SH,601211,1.71,249423,325783
SZ,300476,-3.53,242246,275170
SH,601225,1.63,241890,241890
SZ,002938,-3.8,233925,234604
SH,601816,0.85,232886,232886
SZ,000725,-7.82,228825,239677
SH,688498,2.28,226122,229081
SH,688072,-7.89,221306,227558
SH,600309,0.8,219634,219634
SZ,000651,0.82,218119,221256
SZ,300408,-4.58,217421,231149
SH,600176,-1.24,213830,215529
SZ,002142,0.66,212898,213032
SH,601601,2.73,211101,296691
SZ,000001,1.12,209775,209778
SH,600919,0,207921,207921
SH,603288,3.36,198625,209027
SZ,300433,-1.68,196999,209249
SH,601668,0.43,194619,194619
SH,601919,1.11,182949,222457
SH,601066,2.26,179086,213852
SZ,300760,5.16,178294,178447
SH,600487,-2.45,178012,178937
SH,601328,0.44,177553,601757
SH,600406,0.73,177381,177903
SH,601869,8.12,175810,358210
SZ,300274,-0.12,171691,224218
SZ,002281,-5.98,170921,181228
SH,603256,-5.77,170790,175616
SH,600584,-7.14,170639,170639
SH,601985,0.79,168628,183672
SH,688082,-9.12,168279,170106
SH,600989,1.36,163754,163754
SH,600887,2.22,162635,163447
SH,600031,2.47,161776,175533
SZ,002352,2.27,159366,175914
SZ,000063,-1.97,157561,187132
SH,600999,1.72,154007,180453
SZ,003816,0.26,153801,197450
SZ,000988,-5.8,151311,151388
SH,601100,3.86,149984,149984
SH,601688,2.04,149715,184960
SZ,300124,1.58,147511,165705
SH,688525,-13.07,146898,146898
SH,601818,0.64,145717,185529
SH,600111,0.43,144603,144603
SH,600809,6.97,144200,144200
SH,603019,-4.8,141916,141922
SH,688120,-7.17,141894,141894
SZ,301308,-6.97,141180,211911
SH,688506,11.47,139960,139960
SH,601009,1.09,137607,137607
SH,688347,-4.68,137024,583963
SH,601336,1.21,136158,203675
SH,601766,1.09,135506,159853
SH,603501,5.46,135097,140777
SH,688521,-5.02,135013,135013
SH,688361,-2.85,134012,134012
SZ,000792,-0.23,133823,133824
SZ,301200,-4.42,132887,152815
SZ,000776,1.81,132841,176059
SH,600050,0.71,131399,132561
SZ,002714,5.04,131220,230920
SZ,000338,-4.44,130948,228275
SH,600690,3,130938,196368
SH,601229,0.11,128592,128592
SZ,300857,-3.63,126584,127234
SH,601872,3.66,125882,125882
SZ,000977,-0.04,124549,124688
SH,600016,1.76,122699,151487
SH,600019,2.14,122489,124594
SH,600018,0.39,121115,121289
SZ,000568,5.99,121068,121137
SZ,002156,2.11,120653,120664
SH,601898,-0.74,120349,174351
SH,601698,-1.93,119761,119761
SH,601600,1.81,119094,154738
SH,600104,3.08,119091,119091
SZ,300442,-1.37,115534,115874
SH,600188,0.52,115233,194012
SH,600160,-0.97,114550,114550
SZ,002080,-5.81,114347,114347
SH,600926,0.7,114027,114027
SZ,000408,1.76,113322,113323
SH,600673,-3.19,112588,112888
SH,600760,2.26,112446,112660
SZ,300014,1.28,111814,115033
SH,688111,7.36,110908,110908
SZ,002008,-3.3,110550,118971
SH,601995,6.24,110071,181746
SH,605117,0.78,109969,109969
SZ,001309,-9.99,109341,150263
SH,600346,-1.08,108965,108965
SH,600886,1.48,107638,115585
SH,600905,-0.52,107204,107204
SH,600015,0.29,106941,110609
SZ,301217,-4.28,106487,106487
SH,601169,0.4,106349,106349
SH,688183,0.06,106257,106257
SH,601888,6.6,105980,112783
SH,600660,3.77,105377,137299
SZ,002493,-1.67,103653,110883
SZ,000657,-5.06,103158,161781
SZ,000938,-4.1,101418,101418
SZ,300475,-2.84,100943,105318
SZ,000100,-2.52,100592,104004
SH,688249,-2.52,100380,111188
SZ,002736,1.89,98527,104978
SH,600489,-1.02,98207,98207
SZ,300033,1.82,97174,166823
SH,600089,-0.51,97014,97014
SH,601633,3.66,96910,133262
SZ,002028,-3.39,95585,122465
SZ,002602,3.46,95495,103558
SH,601689,0.81,95233,95233
SH,688396,-5.72,95007,95007
SH,601881,1.01,94020,141929
SH,601006,0,92958,92958
SH,688271,1.63,92314,92314
SH,600893,5.45,92240,92256
SZ,002600,-1.22,92231,104020
