market,code,chg_pct,vol_rank,amt_rank
SH,601288,-1.37,2065510,2264390
SH,601398,-0.53,2038268,2694431
SH,601857,0.95,1726089,1951003
SZ,300750,-0.6,1678173,1822578
SH,600519,-0.98,1677597,1677597
SH,601138,1.47,1313480,1313480
SH,601988,-1.18,1239301,1894608
SZ,300308,2.38,1046673,1103059
SH,600036,-0.8,793389,969955
SH,601628,-1.66,767138,1041271
SH,601088,0.86,737479,969951
SH,600900,-0.5,687556,687556
SH,688256,-1.13,686724,686724
SH,601899,0.99,670176,864995
SH,688041,-1.75,653115,653115
SZ,000333,-1.38,571636,633406
SZ,300502,4.23,562001,624738
SH,601318,-1.99,551658,937070
SZ,002371,0.01,535609,536037
SH,601728,2.18,510027,601201
SH,600028,0.2,473762,604627
SZ,002475,0.93,414452,437805
SH,603259,-1.9,393845,475133
SH,601166,-0.77,381566,381566
SH,601658,-0.61,356836,590867
SH,688012,1.2,353182,359047
SH,600183,1.04,345386,347857
SH,600276,-2.12,335663,349249
SH,600030,-1.9,332541,426698
SH,603993,0.16,321977,394511
SZ,002415,-2.19,315527,319670
SH,601998,0.13,313875,428467
SZ,002594,-0.9,309959,810518
SH,600000,-0.87,303083,303083
SZ,300394,4.1,291372,292024
SZ,000858,-1.82,286261,286268
SZ,002384,1.52,284459,375827
SH,603986,3.21,279082,292964
SH,688981,2.65,265681,1137507
SZ,300059,-1.57,259988,308058
SH,600150,-1.07,251506,251506
SZ,002916,0.01,251297,257480
SH,688825,4.35,248477,3690487
SH,601225,1.16,245962,245962
SH,601319,-2.42,243514,303376
SH,688008,0.8,242587,258644
SH,601211,-1.1,241411,315579
SZ,300408,0.54,241373,257756
SH,601816,-1.41,239735,239735
SZ,002463,0.51,233179,233367
SZ,300476,-0.73,233022,264693
SH,600309,-0.1,228649,228649
SZ,002938,-0.38,220360,221000
SZ,000651,-0.84,220328,223496
SZ,000001,-1.24,215597,215599
SH,600919,-0.26,213976,213976
SZ,002142,-0.28,212502,212635
SZ,000725,-0.85,205483,215227
SH,601601,-1.68,204803,287840
SH,603288,-1.05,199152,209584
SH,688072,0.45,194549,200045
SH,601919,0.92,193245,234976
SH,688498,1.22,186673,189116
SH,600406,-1.94,186029,186577
SZ,300274,-1.19,185296,241985
SZ,300760,-1.9,182168,182339
SH,601668,-0.9,181809,181809
SH,601328,-0.72,179378,607942
SH,600025,-1.03,179044,179044
SZ,300433,3.15,177617,188662
SH,600176,5.94,176298,177699
SH,600989,0.35,167860,167860
SH,601066,-1.66,165899,198105
SH,601985,-0.45,165795,180587
SH,600887,-1.47,160558,161359
SZ,301165,0.42,160252,160252
SH,600031,0.16,158894,172406
SZ,002352,-0.67,157123,172386
SH,600487,10.01,154530,155333
SH,600111,4.0,154218,154218
SZ,003816,-1.53,151440,194420
SH,600809,-2.39,150689,150689
SZ,002281,3.61,150598,158549
SZ,000792,2.24,149591,149592
SZ,300124,0.21,147511,165705
SZ,000338,-1.5,146957,256182
SH,688082,-0.07,145801,147385
SH,601869,5.24,144323,294055
SH,601766,-0.34,143047,168749
SH,601100,0.25,142502,142502
SH,601688,-0.87,141678,175030
SZ,002050,-0.6,141367,161166
SZ,000063,-0.09,141168,167662
SH,600584,1.14,140844,140844
SH,601818,-0.66,139220,177256
SZ,300604,0.48,138544,182732
SH,601009,-0.27,138224,138224
SH,601872,-0.47,137670,137670
SH,600690,-0.14,136065,204057
SH,603256,1.65,135636,139469
SH,600050,0.93,134498,135687
SH,600999,-1.1,133892,156885
SH,601229,1.18,133849,133849
SH,600188,3.21,132282,222717
SZ,000568,-2.57,131542,131617
SH,603019,-0.3,130738,130744
SH,688120,0.16,130730,130730
SZ,300857,3.9,129499,130165
SZ,002714,-2.14,128890,226821
SH,601898,0.86,128585,186284
SH,600760,0.16,125717,125955
SH,688506,-2.27,124687,124687
SZ,301200,1.06,123357,141856
SH,600019,1.41,123131,125246
SZ,000776,-2.21,122627,162522
SH,601600,0.33,122262,158855
SZ,000408,-0.49,121840,121841
SH,600522,8.05,121330,121330
SH,600016,-1.44,121280,149735
SH,600346,-0.17,120579,120579
SH,601336,-1.21,120496,180247
SZ,300014,1.0,119228,122660
SH,688111,0.77,118996,118996
SH,600926,0.62,118013,118013
SH,600018,-0.59,117860,118029
SH,600489,-0.16,117644,117644
SZ,002493,-0.87,117566,125767
SH,600104,-0.69,116102,116102
SZ,300442,3.43,116008,116349
SZ,000977,-0.83,115586,115715
SH,605117,-0.44,114985,114985
SZ,301308,2.38,114558,171953
SZ,000938,0.88,114259,114260
SH,688361,-3.53,114180,114180
SH,688525,2.97,114119,114119
SH,600660,2.55,112708,146850
SH,601698,0.84,111903,111903
SZ,000988,2.57,110337,110394
SH,600160,-1.33,110068,110068
SH,603501,1.18,109930,114551
SH,600673,5.71,109406,109698
SH,688521,0.59,109011,109011
SH,600905,-1.06,106631,106631
SH,600547,-0.54,106047,135255
SH,601888,-1.66,105550,112325
SH,600089,-0.67,105451,105451
SH,601169,-0.6,104869,104869
SZ,002353,4.43,104344,154591
SZ,000100,-0.58,103408,106916
SH,688347,-8.57,103258,440061
SH,600886,-1.22,102718,110301
SZ,000166,-0.66,102085,113430
SZ,301217,3.2,102010,102010
SH,601995,-1.64,101710,167940
SH,600015,-0.75,101709,105197
SZ,002028,-0.64,101694,130298
SZ,300033,-0.71,100948,173302
SZ,002080,7.48,100569,100569
SZ,000657,2.38,99256,155605
SZ,002602,6.34,99233,107611
SH,600893,1.68,98289,98307
SH,601939,-0.58,98239,2678787
SH,600938,0.12,97683,1552803
SH,688183,5.59,97152,97152
SH,603228,0.83,96237,98127
SZ,002736,-1.09,96124,102417
SH,601633,-0.58,95914,132386
SH,601012,-0.39,95862,95862
SZ,002156,1.19,95538,95547
SZ,002008,4.49,94716,101930
SH,601006,-0.64,93156,93156
SH,600362,0.56,92576,154472
SZ,002230,-0.43,91496,100358
SZ,002600,1.12,91367,103046
SH,600795,-0.2,90248,90248
SZ,000807,0.08,89853,89854
SH,688271,-0.81,89338,89338
SZ,000538,-0.85,88699,89266
SH,601390,-0.68,88612,106956
SH,601168,2.31,88504,88504
SH,601881,-1.13,88442,133509
SH,600941,1.66,88209,2119057
SH,600549,3.16,87703,89603
SZ,000617,-1.15,86977,86977
SH,603893,-1.52,86306,86317
SH,601689,-0.36,86040,86040
SZ,000895,-0.28,85219,85230
SZ,002001,-0.71,85214,86240
SZ,002648,-0.79,85037,85091
SH,601727,-1.03,84650,104274
SZ,300757,1.67,83884,86485
SZ,000301,0.64,83331,83367
SH,605499,-2.41,83102,90255
SH,601127,-1.99,82843,92673
SH,601868,-0.39,82368,112370
SH,688200,-1.69,81925,81925
SH,601825,1.53,81088,83424
SH,688702,-0.6,80912,163426
SH,688396,1.37,80662,80662
SH,688249,1.26,80484,89586
SH,601991,-6.36,80326,119923
SZ,300498,-2.39,80091,89628
SH,600436,-0.8,79993,79993
SH,603799,0.43,79940,80190
SH,600236,-3.07,79690,79690
SZ,300620,2.47,79544,80213
SH,600118,1.12,79037,79037
SZ,001289,-1.95,78704,130496
SH,688002,-0.14,77285,77285
SH,601838,-0.55,76546,76546
SZ,002179,1.72,75639,75776
SH,600011,-1.16,75224,107374
SH,688777,-1.2,74933,75313
SZ,002311,-1.23,74332,74404
SZ,300661,3.62,74023,84324
SH,688126,2.25,73610,85600
SZ,002027,-2.68,73366,73366
SH,600674,-1.12,73265,73265
SH,601958,0.94,72953,72953
SH,688519,8.96,72670,72670
SH,600039,-0.36,72608,72608
SZ,000636,1.14,72579,72579
SZ,300475,2.29,72469,75610
SZ,000630,1.25,72429,87161
SH,603195,-0.84,72132,72264
SZ,000425,-0.87,71914,93572
SZ,002466,2.03,71912,83485
SH,600482,0.16,71427,71427
SZ,002202,0.0,70398,88403
SH,600010,1.36,70152,101306
SZ,300759,-1.37,69751,90247
SZ,000708,0.73,69600,69600
SH,601186,-0.33,69594,82156
SH,601800,-0.67,69516,96147
SZ,300015,-0.57,69306,80999
SH,601179,-2.45,69250,69250
SH,600585,-0.74,69048,91609
SZ,002241,-1.08,68828,77723
SH,601111,-0.51,68781,121111
SH,603296,-0.01,68647,130332
SH,688629,0.79,68392,69470
SH,688037,2.07,67954,67954
SH,600703,0.52,67750,67750
SH,600958,-1.2,67748,77064
SH,600029,-0.59,67654,90967
SH,688585,-0.12,67494,67494
SZ,001979,-0.26,67409,68521
SZ,000426,0.03,67262,67278
SZ,001309,2.44,67033,92141
SH,688172,-1.03,66674,79404
SZ,002428,1.38,66341,66350
SH,601360,0.85,66285,66285
