market,code,chg_pct,vol_rank,amt_rank
SH,601288,0.31,2075087,2274890
SH,601398,0.66,2040964,2697995
SH,601857,0.47,1729328,1954664
SZ,300750,-4.23,1652911,1795142
SH,600519,0.16,1635794,1635794
SH,601138,3.56,1354756,1354756
SH,601988,1.05,1220332,1865610
SZ,300308,0.77,1059992,1117097
SH,600036,0.08,803910,982817
SH,601628,0.26,794418,1078298
SH,688256,2.75,733940,733940
SH,601088,2.26,725111,953684
SH,601899,1.17,710762,917380
SH,600900,-0.03,678993,678993
SH,688041,0.76,676499,676499
SZ,000333,-0.17,587355,650828
SH,601318,-0.95,570313,968759
SZ,002371,1.13,538394,538824
SZ,300502,-0.56,529128,588195
SZ,002475,0.05,409472,431843
SH,601166,0.65,391090,391090
SH,601658,0.2,360463,596872
SH,603993,-0.48,355677,435802
SH,603259,-3.24,352937,425782
SH,688012,1,340689,346346
SH,600030,-0.91,339969,436230
SZ,002415,-2.57,338776,343224
SH,600276,-2.66,332410,345864
SZ,002594,-1.5,311878,815533
SH,600000,0.32,309411,309411
SH,601998,0,307761,420121
SZ,000858,-1.34,289095,289102
SZ,300059,-1.71,267199,316602
SH,600150,-0.84,262644,262644
SZ,002384,-0.6,260185,343756
SH,603986,-0.1,257369,270172
SH,601816,0.2,248542,248542
SH,688981,-1.03,248246,1062856
SZ,300394,3.89,245192,245741
SH,601225,4.14,241212,241212
SH,688008,-1.71,238523,254311
SZ,300408,-0.92,237465,252458
SZ,002916,1.38,235336,241126
SH,600309,0.7,234691,234691
SH,688825,-4.3,233978,3475131
SZ,002463,1.38,225353,225535
SZ,000651,-0.04,222261,225457
SZ,000001,0.18,218701,218705
SZ,002938,2.98,216871,217501
SH,601601,-1.08,216782,304676
SZ,300476,5.84,216429,245844
SH,600919,1.29,215628,215628
SZ,000725,-0.16,210788,220784
SZ,002142,0.28,209466,209598
SH,603288,-1.13,203211,213856
SH,600406,-1.5,193558,194128
SH,601919,-0.18,192994,234671
SH,688072,0.61,192805,198252
SH,601668,-0.21,188834,188834
SH,600025,0,181653,181653
SZ,300760,-2.94,181407,181563
SH,601328,0.14,180943,613245
SZ,300433,-0.76,173045,183806
SH,600989,1.43,172114,172114
SZ,300274,-1.42,169389,221212
SH,601066,-0.3,168563,201286
SH,600031,0.71,167454,181693
SH,601985,0.11,166739,181615
SH,600887,-0.18,165656,166483
SH,688498,2.7,163815,165959
SH,600176,3.82,161961,163248
SZ,002352,-0.84,161826,177546
SZ,003816,-0.74,155767,199975
SZ,300124,-1.54,152790,171635
SH,600111,0.34,151507,151507
SZ,000792,0.88,150967,150969
SH,600809,-1.16,145908,145908
SZ,000338,-2.77,145619,253850
SH,601872,-1.21,144373,144373
SH,601766,-0.33,144264,170184
SZ,002050,-1.77,142880,162892
SH,601688,-1.41,142409,175934
SH,601818,-0.32,142005,180802
SH,601100,-0.54,140920,140920
SZ,000063,-0.11,139758,165989
SH,601009,0.45,139461,139461
SH,600690,-0.97,138317,207433
SZ,002281,2.3,137993,145279
SH,600487,3.2,137772,138488
SZ,300604,2.4,136332,176705
SZ,000408,0.25,136165,136166
SH,600584,10,135763,135763
SH,600999,0.33,133596,156537
SH,601869,5.07,133381,271760
SH,688082,-0.46,133246,134693
SZ,301165,3.17,132723,132723
SH,601229,0.22,132144,132144
SH,603256,7.7,130851,134548
SH,601336,-1.38,130194,194753
SH,601898,6.45,129958,188273
SH,603019,-0.95,128456,128462
SZ,000568,-0.57,127997,128070
SH,601600,-1.63,126884,164859
SH,600188,9.98,126798,213484
SZ,002714,0.03,125873,221510
SH,600019,-0.16,125272,127425
SH,600016,0,124827,154114
SH,688506,4.16,124676,124676
SH,688111,-4.31,123938,123938
SH,600104,-0.82,123804,123804
SH,600346,1.34,122832,122832
SZ,002493,6.05,122702,131261
SZ,300857,-0.68,121769,122395
SH,600489,3.55,121716,121716
SH,688361,1,121458,121458
SH,688120,0.66,121390,121390
SH,600018,0.58,120883,121056
SH,600760,0.31,120680,120910
SH,600160,1.74,118357,118357
SH,600926,0.19,117289,117289
SZ,301200,3.03,114521,131695
SZ,300014,-3,114349,117641
SH,688521,0.93,114213,114213
SH,601698,0.67,114016,114016
SZ,000977,-0.52,112638,112764
SZ,300442,-1.59,112573,112904
SH,600660,-0.93,112267,146276
SH,600886,0.61,110918,119107
SH,600522,0.91,110204,110204
SH,688525,-0.05,109847,109847
SH,600905,-0.51,108633,108633
SZ,000938,2.71,108511,108511
SH,601888,-1.46,108480,115442
SH,600547,3.49,108289,138113
SH,603501,-1.29,108204,112753
SH,600089,-2.12,107018,107018
SH,601169,0,106349,106349
SH,605117,-0.3,106315,106315
SH,688347,2.22,105240,448507
SH,600015,0.44,104787,108381
SZ,300033,-1.37,104771,179866
SZ,000988,2.57,103524,103577
SZ,301308,0.39,103251,154980
SZ,000166,-2.15,102311,113681
SH,601995,-2.18,102061,168520
SZ,002353,-2.96,99903,148019
SZ,002028,-0.23,98071,125650
SH,601633,-1.56,97781,134460
SZ,002736,-1.54,97470,103851
SH,601939,1.51,96992,2644780
SZ,000100,-1.02,96970,100260
SH,600673,-1.19,96560,96817
SH,601012,-1.76,96545,96545
SH,601006,0.62,96136,96136
SH,600362,-0.8,95980,160151
SH,600893,0.59,95705,95721
SZ,002230,-1.1,95658,104923
SH,601168,-3.13,94677,94677
SZ,002602,-1.83,94204,102158
SH,600938,0.88,92570,1471527
SZ,002156,5.1,92504,92513
SZ,000807,-0.59,92455,92456
SZ,002600,-1.76,91728,103452
SH,688271,-1.7,91482,91482
SZ,002008,0.42,91080,98018
SZ,000657,8.83,90841,142413
SZ,000617,0.56,90770,90770
SH,688183,0.62,90627,90627
SH,601881,-1.57,90108,136024
SZ,000538,-0.4,89870,90444
SH,600795,0.4,89535,89535
SH,601127,-2.95,88932,99485
SZ,000895,0.2,87922,87933
SH,600941,0.48,87072,2091732
SH,601727,-1.98,86796,106916
SH,601689,-0.89,86492,86492
SH,600236,-1.43,86470,86470
SZ,002080,5.55,86457,86457
SH,603893,2.01,85847,85858
SZ,002648,0.44,85408,85463
SZ,000301,2.46,85248,85285
SH,603228,10,84759,86423
SH,688777,-1.95,82262,82679
SZ,301217,4.32,82073,82073
SH,600436,-0.75,81924,81924
SH,605499,-1.34,81724,88757
SZ,001289,-1.7,80923,134175
SZ,300498,-0.28,80567,90161
SH,688249,1.25,79681,88261
SH,688200,5.26,79327,79327
SH,688702,11.29,79171,159908
SZ,002311,1.26,78699,78775
SH,601825,-0.11,78370,80628
SH,688396,0.55,77660,77660
SH,601991,-2.79,77476,115667
SH,600118,3.48,77252,77252
SH,600011,-1.53,77094,110044
SZ,300757,-0.85,76553,78927
SH,601838,0.45,76165,76165
SZ,000425,0.12,75785,98608
SH,600039,-0.8,74260,74260
SZ,002027,-2.64,74233,74233
SH,601958,1.11,73792,73792
SZ,002241,-1.13,73735,83265
SH,688126,1.49,73554,85534
SH,603195,-1.7,73411,73545
SZ,000630,-1.49,73209,88100
SH,688002,2.42,73170,73170
SH,600674,0.2,73168,73168
SZ,002179,-0.22,72683,72816
SH,601179,-2.63,71916,71916
SH,601800,-0.32,71744,99228
SH,600066,0.12,71577,71577
SH,601111,-0.96,71342,125619
SH,601186,-0.15,71320,84193
SZ,000708,-0.41,71165,71165
SH,600585,0.34,70799,93932
SH,600010,-0.87,70466,101759
SZ,002202,2.98,69826,87686
SH,600029,-1.14,69811,93867
SZ,002466,-1.23,69625,80830
SZ,300015,-1.68,69466,81185
SH,601360,0.41,69016,69016
SH,600988,1.13,68720,78487
SZ,300475,0.82,68671,71647
SH,600703,2.7,68399,68399
SZ,300620,5.63,68119,68692
SH,600958,-1.29,67972,77319
SH,688629,2.47,67761,68829
SZ,000636,0.83,67431,67431
SH,600415,-1.36,67064,67064
SH,600026,-2.28,66837,95527
SZ,000426,3.53,66712,66728
SH,600023,0.4,66507,66507
SZ,002625,-0.99,65908,65909
SH,600482,1.97,65825,65825
SH,601018,-0.28,65756,65756
SH,601231,6.01,65744,65744
SZ,000703,4.94,65401,65731
SH,603296,1.49,64870,123161
SH,688172,2.23,64709,77063
SZ,001965,-0.62,64689,64689
SZ,000960,1.68,64583,64583
SZ,000975,5.12,64242,70589
SZ,001309,0.52,64073,88073
SH,600233,-2.59,64029,64029
SZ,300661,2.13,63937,72834
SH,600115,-1.05,63673,82608
SZ,002460,-1.39,63274,109531
SH,601916,-0.33,63125,80471
SH,600048,2.33,63084,63084
SH,601669,-0.81,62874,82858
SZ,000021,3.13,62825,62833
SZ,002128,2.51,62293,86885
SZ,001979,1.6,61999,63022
SH,600875,-2.28,61813,94448
SH,688017,-1.31,61606,61606
SZ,002304,-0.98,61582,61583
SH,688519,2.97,61062,61062
SZ,000625,-2.37,61012,73157
SZ,002595,-0.67,60813,61236
SZ,002837,1.15,59835,67451
SZ,002851,4.12,59642,70962
SZ,002428,10,59413,59421
SH,600009,-0.61,59352,59545
SZ,300285,3.36,59314,69325
SZ,002709,0.51,59229,80014
SZ,000933,0.53,59201,59239
SH,688141,2.1,58857,58857
SH,601061,-2.19,58800,58800
SZ,002064,2.34,58533,58657
SH,600426,1.1,58374,58381
SH,601901,-1.25,57954,57954
SH,603156,2.02,57948,57948
SZ,000768,-0.13,57833,57920
SZ,300223,0.71,57772,66262
SH,600221,-1.46,57413,57909
SZ,002185,4.04,57349,57362
SH,601077,0.31,57272,73593
SH,601788,-1.14,57233,67548
SZ,300054,3.76,57162,73305
SH,600580,-1.7,56433,56596
SH,688409,5.85,56282,56282
SZ,300759,-0.89,56233,72756
SZ,300765,5.26,56184,56184
SH,600105,5.01,56111,56111
SZ,002049,-1.03,56067,56075
SH,688019,1.37,55810,55810
SH,688766,0.25,55734,55734
SZ,002920,-2.78,55665,55682
SZ,002558,-2.68,55610,55610
SH,601233,1.57,55449,55550
SH,600438,-3.74,55420,55420
SZ,002422,-0.9,55204,67624
SZ,000831,0.76,55173,55173
SH,600372,-1.29,55163,55163
SZ,002532,-0.44,55032,62025
SH,600885,-2.06,55017,55017
SH,600096,-0.49,54726,54726
SH,601877,-1.81,54562,54562
