market,code,chg_pct,vol_rank,amt_rank
SH,601288,-1.25,2008046,2201393
SH,601398,-1.19,1997826,2640970
SH,601857,-1.69,1591694,1799096
SZ,300750,0.24,1553265,1688126
SH,600519,-1.12,1501498,1501498
SZ,300308,0.08,1315279,1321553
SH,601138,0.09,1302963,1302963
SH,601988,-1.35,1220332,1865610
SH,688256,0.1,887407,887407
SH,601628,2.79,828776,1124935
SH,688041,1.51,804221,804221
SH,600036,-1.07,758733,927586
SH,601088,-0.98,708950,932429
SZ,300502,-0.86,707243,786193
SH,600900,-0.66,693919,693919
SH,601899,-0.78,593950,766610
SZ,000333,0.28,558898,619810
SH,601318,0.06,529059,898682
SH,600028,-1.18,470920,601000
SZ,002475,0.37,453422,478195
SH,601728,-0.16,445595,525251
SH,603986,3.46,403903,423994
SH,688012,0.6,384171,390551
SH,600183,5.42,373351,378730
SH,601166,-0.91,365906,365906
SH,601658,-0.98,361914,599274
SZ,002384,-0.14,360430,476200
SH,600276,0.44,351228,365444
SH,600030,-0.1,340578,414531
SH,688981,0.81,324529,1389419
SH,603259,1.59,320389,386516
SZ,002594,0.14,314876,823374
SH,688008,1.44,313528,334281
SH,603993,-1.69,312549,382958
SZ,002415,0.45,305135,309131
SH,600000,-1.08,301751,301751
SH,601998,-0.81,297162,405653
SZ,300394,-1.46,293321,293977
SZ,000858,-1.42,280827,280834
SZ,002916,0.64,273642,280375
SZ,002463,2.15,269347,269565
SH,601319,0.14,254519,317086
SH,600150,-0.23,253538,253538
SZ,300476,-1.21,248086,281804
SH,688072,2.94,247356,254344
SH,601211,-0.16,244834,319789
SZ,000725,-1.7,244033,255606
SZ,002938,-0.69,241481,242183
SH,601225,-0.28,237334,237334
SZ,300408,1.61,231557,246177
SH,601816,-0.84,228972,228972
SH,600176,2.51,221972,223735
SH,688498,-0.36,220245,223127
SZ,000651,0.18,216739,219855
SH,600309,-1.23,215189,215189
SZ,002142,-1.3,208740,208872
SH,600919,-0.78,206269,206269
SH,601601,0,205488,288803
SZ,300433,0.45,201273,213789
SH,601668,-0.63,192553,192553
SH,603288,-0.19,191785,201829
SH,600487,2.65,187336,188309
SH,688082,1.05,187127,189159
SH,600584,0.07,183898,183898
SH,603256,1.14,183335,188516
SH,600025,-0.81,181281,181281
SH,601919,-0.61,179810,218640
SZ,002281,-2.25,177704,188420
SH,601869,9.01,177253,361149
SH,600406,-0.4,175379,175895
SH,601328,-0.87,175207,593805
SH,601066,-0.06,174993,208965
SZ,300274,1.18,173945,227162
SZ,300760,-0.44,168784,168929
SH,601985,-0.55,166362,181204
SH,688525,-2.74,164341,164341
SZ,300604,-0.77,162994,211261
SH,600989,-1.62,158914,158914
SH,600031,0.59,158810,172314
SH,600887,-0.7,157978,158767
SZ,301308,2.25,155188,232937
SZ,002352,-0.45,155121,171228
SZ,002050,0.12,153668,175516
SH,688120,0.22,153213,153213
SH,600999,1.13,153116,179409
SZ,003816,-0.5,152621,195935
SH,601688,0.55,147523,182252
SH,600522,1.46,147474,147474
SH,600111,1.93,146772,146772
SH,603019,-1.61,146671,146677
SZ,300124,0.08,145342,163269
SH,688347,0,143773,612722
SH,601818,-0.95,143397,182574
SH,601100,-0.73,143334,143334
SH,688521,-0.84,140966,140966
SH,688361,1.3,139761,139761
SZ,301200,0.3,139470,160385
SZ,000338,0.07,137143,239075
SH,601009,-0.72,135134,135134
SZ,000792,0.39,134669,134671
SH,603501,5.12,134650,140312
SH,601766,-0.35,133560,157557
SH,601336,-0.8,133447,199620
SH,600809,-1.89,132244,132244
SZ,300857,0.5,132027,132705
SH,600050,-0.47,129850,130998
SH,601229,-0.76,127455,127455
SH,688506,0.95,126744,126744
SH,600690,-0.48,126499,189709
SZ,000977,1,125854,125995
SZ,002714,-0.25,124593,219258
SZ,002156,5.43,124583,124595
SH,601872,1.53,123298,123298
SZ,002080,-0.46,120842,120842
SH,600016,-0.28,120217,148422
SH,600018,-0.38,120186,120357
SH,601698,-1.96,119719,119719
SH,600019,-0.53,119277,121326
SZ,300442,-0.73,116287,116629
SH,601600,-0.89,115925,150621
SH,600160,0.09,115792,115792
SH,600104,0.1,115642,115642
SZ,002008,0.59,114999,123758
SH,600673,-1.41,114660,114965
SH,600188,-0.82,113683,191403
SZ,000408,1.83,113400,113401
SH,600926,-0.5,112649,112649
SZ,000568,-1.42,112595,112659
SZ,301217,1.1,112481,112481
SZ,301165,1.21,111386,111386
SZ,300014,0.17,110589,113772
SH,605117,1.04,110249,110249
SZ,001309,-9.99,109341,150263
SZ,000657,0.52,109231,171305
SH,600346,-1.01,109036,109036
SZ,300475,3.94,108004,112685
SH,600760,-1.87,107891,108096
SH,600886,0.28,106371,114224
SH,688249,3.14,106222,117659
SH,600015,-0.71,105864,109495
SH,688183,-0.49,105654,105654
SH,600905,-2.11,105488,105488
SH,688111,1.91,105275,105275
SH,601169,-0.79,105081,105081
SH,601995,0.48,104107,171899
SZ,000100,0.58,103811,107332
SZ,000938,-1.96,103678,103678
SZ,002493,-2.65,102625,109784
SH,600660,0.69,102252,133227
SH,688126,2.86,101093,117560
SZ,002353,0.88,100905,149503
SH,688396,-0.37,100399,100399
SH,601888,-0.36,99049,105407
SH,600489,-0.19,99031,99031
SZ,002028,-0.2,98743,126511
SH,688200,-2.38,98083,98083
SH,600549,0.82,98022,100145
SH,600089,-0.46,97064,97064
SH,688766,0.88,96754,96754
SZ,002736,0,96701,103032
SZ,300033,0.99,96385,165468
SH,601939,-2.18,94210,2568916
SH,601689,-0.6,93895,93895
SZ,002600,0.08,93455,105400
SH,601633,-0.39,93116,128045
SH,601881,-0.61,92498,139632
SH,601006,-0.63,92362,92362
SH,600118,-5.42,91844,91844
SH,600547,0.32,91590,116816
SZ,002602,-1.39,91010,98693
SZ,300223,3.84,90947,104312
SH,603893,-1.1,90711,90722
SH,600893,3.69,90694,90710
SH,688271,-0.28,90567,90567
SH,600362,-1.06,90024,150213
SZ,002230,-1.08,89170,97837
SZ,000538,-0.13,88611,89177
SH,601390,-0.22,87799,105975
SZ,002001,-0.16,87309,88361
SH,601012,-2.63,86541,86542
SH,600938,-2.29,86232,1370764
SZ,000807,-0.47,86213,86213
SH,688172,2.56,86047,102474
SZ,300757,5.35,84860,87491
SH,688519,-2.54,84084,84084
SH,601127,0.94,83902,93858
SH,600795,-1.25,83827,83827
SZ,000617,-0.29,83564,83564
SZ,000021,0.69,83226,83237
SH,601727,0,83137,102409
SH,600941,-0.26,82648,1985142
SH,688629,-0.71,82541,83841
SZ,002185,-3.73,82136,82155
SH,601868,0,81720,111485
SZ,000895,-0.8,80681,80692
SH,688048,-0.47,80521,80521
SZ,000301,-1.38,79697,79731
SZ,001289,-0.05,79360,131584
SZ,002837,0,79279,89370
SH,605499,-1.6,79270,86092
SZ,300498,-0.21,79199,88630
SZ,002648,-0.67,79146,79197
SH,688037,2.58,79115,79115
SH,688777,1.91,78814,79214
SH,601168,-0.29,78806,78806
SH,688409,1.37,77918,77918
SZ,002851,-2.01,77298,98136
SH,603799,-1.49,76977,77218
SH,600236,-1.9,76774,76774
SZ,002179,1.51,76310,76449
SZ,002484,7.25,75844,78622
SH,600436,-1.27,75415,75415
SH,601838,-0.16,75275,75275
SH,600703,0.27,74885,74885
SH,600674,0.33,74825,74825
SH,600011,-1.58,74784,106747
SH,688702,-2.81,74295,150060
SZ,000425,0.24,74165,96500
SH,601825,-0.62,74058,76191
SZ,300620,3.93,73909,74530
SH,601958,-0.38,73857,73857
SZ,002636,5.56,73156,73528
SH,600039,-0.58,72956,72956
SH,601991,-0.67,72393,108079
SH,688036,-0.18,71696,71696
SH,601186,-0.15,71665,84601
SH,600482,0.16,71518,71518
SH,688110,3.34,71298,71298
SZ,300661,1.01,71243,80207
SH,600105,0,71053,71053
SH,688017,0.03,70949,70949
SZ,002466,1.35,70820,82217
SH,688019,5.88,70698,70698
SH,600460,0.19,69691,69691
SH,601800,-0.66,69517,96148
SZ,300666,0.72,69349,86553
SH,601231,0,69040,69040
SH,688002,1.07,68730,68730
SZ,000630,-0.47,68641,82602
SH,600010,-1.34,68587,99045
SZ,002027,0,68456,68456
SZ,002241,0.09,68419,77262
SZ,000636,-0.7,68252,68252
SH,600958,-0.32,67898,77235
SH,601111,-1.51,67850,119472
SH,603228,0,67839,68175
SH,600023,-7.85,67580,67580
SZ,000708,0.15,67127,67127
SH,600029,-1.58,66846,89880
SH,600585,-0.46,66782,88602
SZ,300015,-0.11,66761,78023
SZ,002049,0.2,66585,66594
SZ,001965,-0.7,66524,66524
SH,688141,0.19,66368,66368
SH,603195,-0.34,66174,66295
SH,600498,1.39,64904,69321
SH,601018,-0.59,64783,64783
SH,688729,4.38,64213,108558
SZ,002460,0.88,64025,110831
SH,688147,0.53,64003,64003
SZ,002202,-0.88,63907,80252
SZ,301269,-0.32,63489,63489
SH,600066,-0.06,63385,63385
SZ,002436,1,62630,70129
SZ,002428,1.16,62607,62615
SZ,002422,-0.61,62593,76676
SZ,300054,1.54,62330,79950
SH,603296,-0.03,62099,117900
SH,601360,-0.1,61666,61666
SZ,300285,2.54,61285,71578
SH,600879,-3.98,61169,61169
SZ,002409,1.94,60876,90959
SH,600875,-2.07,60681,92719
SH,601669,-0.42,60652,79929
SH,601916,-0.35,60324,76901
SZ,002128,3.14,60298,79446
SH,600115,-1.66,60268,78191
SH,688630,0.23,60157,66899
SZ,300548,2.96,60013,64922
SH,600378,0.39,59978,72137
SH,600026,1.64,59449,84968
SH,600350,-1.52,59127,59127
SZ,000960,-1.42,59087,59087
SZ,002625,-0.54,58798,58799
SH,601077,-0.74,58686,75410
SH,601901,-0.41,58530,58530
SH,688432,-3.28,58502,58502
SH,600233,-1.27,58293,58293
SZ,002821,2.64,57905,65893
SH,688234,0.4,57822,65210
SH,601788,-0.4,57507,67871
SZ,002709,-0.17,57493,77669
SH,603156,2.77,57469,57469
SZ,000703,3.44,57188,57476
SZ,000625,-0.42,57126,68498
SZ,000426,0.53,57055,57069
SZ,002304,-0.75,56927,56929
SH,600988,-2.28,56823,64899
SH,600221,-0.74,56556,57045
SH,688585,1.5,56390,56390
SH,601208,3.35,56328,56328
SZ,301526,2.61,56316,151212
SH,600048,-0.41,56261,56261
SZ,000933,1.09,56073,56113
SH,603083,1.34,55920,74722
SZ,300765,5.72,55524,55524
SZ,300418,2.26,55205,60358
SZ,000066,0.77,54705,54710
SZ,300759,3.98,54529,70552
SZ,000768,0,54307,54389
SH,688578,1.49,53960,53960
SZ,300450,0.38,53956,57928
SH,688047,0.31,53838,53838
SH,600415,-0.4,53794,53794
SH,600372,-0.35,53760,53760
SH,601059,0.24,53704,53704
SZ,300395,1.74,53274,54644
SZ,002595,0.65,53221,53592
SZ,001979,-0.15,53174,56981
SH,605376,3.31,53050,53050
SH,600601,0.63,53004,54319
SZ,300316,0.3,52957,56310
SH,601061,2.08,52871,52871
SH,601377,-0.15,52852,52852
SZ,000963,0.6,52801,52823
SH,600885,-1.1,52262,52262
SZ,000811,2.21,52002,52750
SH,688375,-1.38,51603,51603
SH,601877,-0.57,51167,51167
SH,603659,-0.41,51032,51032
SH,600196,-0.03,50928,64197
SH,600741,-0.05,50885,50885
SZ,002532,0.73,50679,57119
SZ,000157,0.28,50548,61837
SH,600497,1.74,50202,50202
SH,600096,-0.89,50132,50132
SH,688469,0.71,50128,71588
SH,600426,-3.23,50070,50076
SZ,000831,-0.41,50068,50068
SH,601233,2.24,49916,50007
SZ,002558,-2.74,49662,49662
SZ,000975,-1.35,49531,54425
SH,600418,0.36,49315,50899
SH,603650,1.58,49244,49373
SZ,002064,0.4,49223,49328
SZ,301377,0.32,49176,210933
SH,600580,-0.18,49159,49300
SH,600803,-0.18,49117,49502
SH,600667,3.23,48858,48858
SZ,000783,-0.89,48665,48665
SH,688331,1,48598,77079
SZ,002920,0.14,48273,48288
SH,688728,0.63,48154,50113
SH,688336,2.27,47847,47948
SZ,300803,-0.62,47580,47930
SZ,003031,1.27,47544,63044
SH,600909,2.83,47529,47529
SH,600438,-1.3,47451,47451
SH,688668,-1.52,47436,47436
SZ,301358,0,47373,52542
SZ,001872,-2.38,46966,50636
SH,688627,6.25,46888,60902
SH,603929,-0.24,46675,46675
SZ,300346,0.85,46661,49162
SZ,300751,1.59,46313,66978
SH,600009,-0.61,46287,56286
SH,603260,4.29,46236,46236
SZ,002414,-0.06,46187,58039
SH,601618,0,46060,53384
SH,601607,-0.59,46050,61225
SH,600377,-0.81,45930,60856
SH,601117,-0.65,45661,45800
SH,605358,-0.07,45428,45428
SH,601298,-0.23,45293,54525
SH,601198,0.94,45060,45060
SZ,301511,4.49,45016,75739
SZ,300672,1.76,44964,46410
SZ,002074,2.91,44773,46784
SH,605589,1.69,44690,44715
SH,600206,0.23,44656,44656
SZ,002812,0.6,44440,53055
SZ,002429,-0.4,44203,44228
SH,688300,1.32,44116,44116
SZ,300058,2.01,44065,45488
SH,601699,-1,44004,44004
SH,601021,-0.9,43878,43878
SH,600726,0,43805,46337
SH,688362,1.56,43454,43454
SH,601878,-0.2,43405,43405
SZ,300390,-0.25,43348,53567
SH,600392,1.98,43330,43330
SZ,002273,1.7,43300,44208
SH,601126,-0.29,43267,43688
SZ,002203,-0.14,43137,44689
SH,688009,-0.59,43019,52843
SZ,002056,2.88,42982,43027
SH,603629,5.31,42926,43641
SH,603979,1.55,42505,42505
SH,601058,-0.53,42318,42318
SH,688536,-0.81,42062,42814
SH,600027,-1.29,42023,52950
SZ,002129,3.17,42014,42048
SH,688187,0.02,41873,64127
SZ,300782,7.7,41862,53698
SH,688099,0.2,41689,41689
SH,600061,-0.45,41497,41497
SH,688808,2.17,41487,220733
SZ,002126,0.13,41403,44094
SZ,000999,-0.59,41118,41156
SZ,002294,1.4,41061,41070
SH,603129,-0.38,40915,40915
SH,688025,0.57,40893,40893
SH,601108,-0.1,40540,40540
SH,600707,-0.26,40361,40369
SZ,002850,-0.21,40163,54851
SH,600642,-1.43,40129,40131
SH,600985,0.07,39860,39860
SH,600845,-0.2,39821,53328
SH,603087,1.19,39747,42307
SH,601555,0.13,39650,39650
SH,603379,1.88,39608,39608
SZ,300570,0.95,39555,46745
SH,600141,0.95,39429,39429
SH,688295,0.3,39177,39177
SZ,002407,0.61,39159,43213
SZ,002236,0.06,39047,53387
SZ,002138,1.9,38967,41533
SH,601456,-0.44,38955,50557
SH,688266,-0.34,38880,38880
SZ,300115,-0.31,38562,38676
SZ,300037,1.81,38548,53149
SH,600570,-0.82,38517,38517
SH,600995,-0.65,38224,38224
SH,600021,-0.43,38180,38180
SH,600578,-0.34,38025,38025
SZ,000987,0.13,38001,38030
SH,688188,-0.44,37948,37948
SH,600600,-0.6,37938,72984
SH,600143,0.07,37731,38282
SH,601136,-2.48,37392,37392
SZ,000559,0.27,37386,37397
SH,601577,-1.99,37352,37360
SH,601665,-0.65,37292,37292
SZ,001203,0.25,37220,43693
SZ,002078,-1.02,37217,37447
SH,601216,-0.67,37212,37212
SZ,300489,1.94,37172,37308
SZ,002738,-0.69,37119,37655
SH,600968,-2.4,37103,37103
SH,600246,2.35,37090,38121
SZ,002653,1.96,37070,77342
SH,688167,0.85,37047,37047
SH,600641,-1.56,36769,37411
SH,603308,0.43,36526,36526
SH,688146,1.35,36489,133253
SH,688433,4.12,36363,36363
SH,601238,-0.39,36328,50170
SH,603061,3.24,36102,36102
SH,688322,0.08,35745,46076
SZ,000688,0.23,35670,35671
SZ,002155,0.44,35656,35660
SZ,300919,1.67,35591,40640
SZ,300979,0.33,35570,35570
SZ,000983,0,35538,35539
SH,688052,1.82,35471,40441
SH,601212,0,35469,35469
SH,603392,-1.68,35314,35314
SH,688385,2.4,35254,53838
SZ,300972,-1.01,35109,38214
SH,600060,-1.5,34819,34947
SH,600177,-0.76,34767,35693
SZ,002945,0,34641,34641
SH,600256,-1.27,34453,34453
SH,688027,-0.42,34401,44026
SZ,002222,0.22,34306,34460
SZ,002032,-0.5,34162,34178
SZ,000893,2.89,34161,38884
SH,603688,1.78,34137,34137
SH,601808,-1.87,33986,54778
SH,600353,-0.67,33981,33981
SH,601777,0.54,33953,33953
SZ,002966,-0.63,33889,34469
SH,600157,0,33818,33818
SH,688676,0.46,33794,33794
SZ,300017,1.05,33764,35988
SH,600085,-0.68,33711,33711
SZ,002245,0.43,33706,35826
SZ,002859,1.55,33704,35697
SH,688472,0.22,33663,33663
SZ,301396,0.26,33568,50984
SH,688303,0,33530,33530
SZ,002195,0,33470,33773
SH,688775,1.65,33444,51709
SH,688820,2.68,33372,359534
SZ,002025,-1.15,33364,33375
SZ,002261,-5.19,33237,36539
SH,688387,-0.83,33136,56170
SH,688403,2.3,33028,33028
SZ,002378,0.04,32985,33159
SH,600839,-0.83,32720,32729
SH,603298,-0.39,32706,32706
SZ,300251,2.09,32611,34470
SH,600711,0.67,32606,32606
SH,601162,-1.29,32586,38180
SZ,000596,-0.98,32557,42119
SZ,002444,-0.38,32556,33911
SH,603568,-0.8,32530,32530
SZ,000962,0.92,32500,34069
SH,603606,-3.5,32415,32415
SH,603699,-0.76,32342,33074
SZ,002340,-1.54,32334,32502
SZ,300236,0.1,32278,36315
SH,601236,-0.28,32243,32243
SH,601696,-0.16,32225,32225
SH,688127,1.36,32029,32029
SZ,301018,-0.57,32021,42376
SH,600298,-0.31,32006,32405
SH,603179,1.29,31903,31903
SZ,002472,0.47,31883,36201
SZ,300458,0.9,31860,38881
SZ,000728,0,31856,31856
SZ,002252,0,31690,31711
SH,688502,1.86,31680,31680
SZ,300814,-0.39,31586,31586
SH,603127,8.82,31568,37527
SH,688301,0.32,31560,31560
SH,688123,0.28,31539,31539
SZ,300748,2.24,31494,38338
SZ,000423,0.22,31411,31467
SZ,300454,2.89,31401,47053
SZ,002046,2.49,31392,31748
SH,600563,0.51,31358,31358
SZ,000876,-0.56,31320,31339
SH,600109,-0.23,31310,31310
SH,688235,1.12,31296,419281
SH,600588,-0.53,31266,31266
SH,688213,1.41,31225,38831
SH,603663,1.07,31171,31192
SZ,002432,10,31169,31210
SH,688257,2.38,31118,31118
SH,600863,-1.65,30937,37139
SH,688192,19.05,30929,31194
SH,600348,1.66,30844,30844
SZ,002747,2.58,30819,38122
SZ,002536,4.64,30802,32521
SH,600332,-0.81,30761,35572
SZ,000878,0.07,30736,37202
SZ,301236,-1.03,30721,40476
SZ,302132,-0.58,30599,139510
SH,688343,-0.31,30570,30570
SZ,000800,-0.79,30558,30561
SH,603067,3.2,30478,30478
SZ,002601,-0.9,30251,36288
SZ,002240,-0.11,30163,30241
SH,688001,2.66,30043,30043
SH,603369,-1.63,29986,29986
SH,603920,1.08,29609,29609
SZ,002517,0.19,29564,33435
SZ,300832,-0.72,29531,33967
SZ,000883,-0.86,29482,32211
SZ,000002,-0.65,29442,36150
SZ,300558,0.47,29412,29506
SH,600483,-1.3,29386,29386
SH,601611,-0.5,29294,29294
SZ,002456,-1,29261,30834
SH,688180,1.22,29253,39189
SZ,002939,0,29182,32679
SH,605111,-0.03,29127,29127
SH,600259,0.72,29102,29102
SZ,300903,3.68,29101,38314
SH,603225,0.11,29099,29255
SZ,002673,-0.3,29097,29097
SH,688333,6.38,29053,29053
SH,601001,0,29039,29039
SH,603486,0,28977,29242
SH,600282,0,28976,28976
SH,603186,4.23,28926,28926
SZ,000629,1.63,28893,28895
SZ,000786,-0.8,28857,29074
SZ,000027,-0.81,28782,28782
SZ,000729,0.88,28760,32300
SZ,002364,-3.85,28759,29041
SZ,000958,0.57,28640,97444
SZ,002555,-0.32,28620,39887
SH,688102,-0.37,28598,28681
SH,688617,-0.95,28596,28596
SZ,300207,-0.05,28571,30797
SZ,000060,-0.46,28512,28512
SH,688608,-0.02,28488,28488
SH,600871,-3.22,28449,39810
SZ,300438,-0.49,28376,35340
SH,688195,0.73,28371,28371
SH,600499,-0.39,28346,28346
SH,601990,0,28268,29390
SH,688018,-0.04,28264,28264
SH,603306,0.32,28261,28261
SH,603823,1.93,28213,28213
SH,688599,-0.4,28205,28205
SZ,000062,0.41,28202,28229
SZ,000661,-1.96,28049,28633
SH,605090,1.02,28040,28095
SZ,000967,1.09,28037,28049
SH,600330,-1.08,28024,28024
SH,688568,-0.05,28008,28008
SZ,300347,1.4,27973,42517
SZ,300776,2.6,27964,44482
SZ,300811,3.7,27945,34066
SH,688372,1.26,27918,27918
SH,601598,-0.72,27902,38810
SH,601933,0.65,27846,27846
SH,600398,-0.16,27616,27616
SH,688411,-0.16,27503,37850
SZ,300339,-1.22,27421,28081
SZ,002487,-0.68,27382,32120
SH,600862,-0.8,27373,27373
SH,600369,-0.48,27245,27245
SH,688205,0.92,27191,27191
SH,603290,-2.51,27137,27137
SH,600777,-7.78,27120,28970
