SH,601288,-0.45,2065510,2264390
SH,601398,-0.52,2030180,2683739
SH,601857,1.03,1747139,1974796
SZ,300750,0.01,1653039,1795281
SH,600519,0.18,1638657,1638657
SH,601138,-0.81,1343643,1343643
SH,601988,-0.34,1216117,1859166
SZ,300308,-3.82,1019424,1074343
SH,601628,0.92,801706,1088191
SH,688256,0.33,736359,736359
SH,601088,-0.06,724616,953034
SH,601899,1.39,720651,930143
SH,688041,1.43,686145,686145
SH,600900,0,678993,678993
SZ,000333,-2.36,573460,635430
SH,601318,-0.21,569034,966586
SZ,002371,0.46,540881,541313
SZ,300502,-0.89,524387,582925
SH,600028,0.2,482290,615511
SH,601728,-1.74,480528,566429
SZ,002475,1.5,415625,438332
SH,601166,-0.64,388550,388550
SH,603259,7.21,378387,456485
SH,601658,0,360463,596872
SH,603993,1.33,360392,441579
SH,600276,3.72,344785,358741
SH,688012,0.47,342281,347965
SH,600030,-0.31,338873,434823
SH,600183,9.19,335113,337510
SZ,002594,0.53,313516,819818
SH,600000,-0.53,307746,307746
SH,601998,-0.92,304907,416226
SZ,000858,0.81,291424,291431
SZ,002384,3.03,268059,354160
SZ,300059,-0.54,265731,314862
SH,600150,-0.25,261967,261967
SH,688981,1.97,253145,1083830
SH,601319,-0.41,251679,313548
SZ,002916,6.69,251072,257249
SZ,300394,0.99,247608,248163
SH,601816,-0.58,247075,247075
SH,688008,2.36,244155,260316
SH,601225,0.76,243054,243054
SH,601211,0.17,241460,315380
SZ,300476,10.95,240118,272752
SZ,002463,6.4,239774,239968
SZ,300408,0.08,237652,252657
SH,600309,0.8,236570,236570
SH,688825,0.08,234158,3477806
SZ,002938,7.37,232862,233538
SZ,000651,-0.31,221543,224728
SZ,000001,-0.7,217149,217152
SH,601601,-0.65,215345,302656
SH,600919,-0.76,213976,213976
SZ,000725,1.17,213264,223377
SZ,002142,-0.84,207684,207815
SH,603288,-0.51,202155,212744
SH,601919,0.52,193998,235892
SH,688072,0.41,193588,199057
SH,600406,-0.61,192356,192923
SH,601668,-1.08,186768,186768
SZ,300760,0.88,183006,183164
SH,601328,-0.13,180682,612361
SZ,300274,6.47,180343,235517
SH,600025,-0.81,180163,180163
SZ,300433,2.58,177518,188557
SH,600176,7.18,173598,174977
SH,600989,0.77,173434,173434
SH,601066,-0.11,168368,201054
SH,601985,-0.44,165984,180793
