market,code,chg_pct,vol_rank,amt_rank
SH,601288,0.87,2231517,2446381
SH,601398,1.51,2175771,2876198
SH,601857,1.19,1784381,2016891
SZ,300750,0.45,1698153,1844277
SH,600519,2.38,1690735,1690735
SH,601988,1,1279347,1955829
SH,601138,-6.9,1066818,1066818
SZ,300308,-13.87,909018,957989
SH,600036,0.91,825570,1009298
SH,601628,-0.57,815241,1106563
SH,601088,0.69,747704,983399
SH,600900,1.52,718632,718632
SH,601899,0.53,665850,859412
SH,688256,-9.09,655033,655033
SH,688041,-5.52,623597,623597
SZ,000333,0.76,603369,668591
SH,601318,1.12,585344,994291
SH,600028,0.97,494608,631231
SH,601728,1.92,493725,581985
SZ,002371,-4.86,487274,487663
SZ,300502,-15.93,444090,493664
SZ,002475,-6.57,426686,449997
SH,601166,1.61,399766,399766
SH,601658,1.37,376419,623293
SH,600030,-1.08,343257,417791
SH,600276,-0.7,341340,355157
SZ,002594,0.62,332762,870145
SH,603993,-1.82,327042,400715
SH,688012,-4.31,324530,329919
SZ,002415,-1.11,319689,323887
SH,601998,1.03,319174,435702
SH,600000,2.37,316405,316405
SZ,000858,4.31,304349,304357
SH,603259,-3.31,302482,364914
SZ,300059,0.35,266665,315969
SH,601319,0.67,265168,330353
SH,600150,-0.91,258957,258957
SH,601211,-0.73,253607,331248
SH,601816,0.78,252457,252457
SH,688981,-6.49,244726,1047757
SH,601225,0.77,240727,240727
SH,600183,-8.31,239197,240909
SH,600309,1.15,235881,235881
SH,603986,-4.84,231552,243070
SZ,000651,0.53,231207,234531
SH,688008,-5.05,225519,240446
SZ,002384,-9.99,224307,296354
SH,601601,2.29,223559,314200
SZ,000001,1.42,222000,222004
SH,603288,2.92,215418,226700
SH,600919,0.6,214527,214527
SZ,002142,1.5,213822,213956
SH,601919,0.13,195505,237725
SH,601668,0.86,193379,193379
SZ,300760,2.56,192419,192584
SH,600406,-0.37,190915,191477
SZ,000725,-5.94,189922,198928
SZ,300408,-7.05,189224,201172
SH,601328,1.41,187461,635336
SH,688072,-5.55,187117,192403
SZ,002463,-8.41,185340,185489
SZ,002938,-9.47,176755,177268
SZ,300394,-11.68,175024,175416
SH,600887,0.99,173587,174453
SH,600989,1.46,173067,173067
SH,601985,1,170894,186140
SZ,002352,0.81,168065,184391
SH,601066,-0.61,167004,199425
SH,600809,5.11,164402,164402
SZ,300274,-3.3,163547,213582
SZ,003816,0.74,161668,207550
SZ,300476,-8.57,159464,181137
SZ,300433,-6.31,155452,165119
