股票代码,名称,流通市值,市值分位
300782,卓胜微,424.45,2
901,航天科技,143.12,2
603236,移远通信,219.45,2
2558,巨人网络,561.81,3
2230,科大讯飞,945.56,3
600900,长江电力,6858.44,4
605090,九丰能源,267.58,2
605376,博迁新材,522.55,3
600821,金开新能,120.2,2
300570,太辰光,406.76,2
601600,中国铝业,1102.48,4
300071,福石控股,46.42,1
603296,华勤技术,661.24,3
2413,雷科防务,124.62,2
1267,汇绿生态,264.05,2
2050,三花智控,1591.57,4
601991,大唐发电,823.1,3
2929,润建股份,133.16,2
2151,北斗星通,144.4,2
2158,汉钟精机,196.83,2
688323,瑞华泰,75.37,1
600050,中国联通,1301.6,4
600986,浙文互联,104.12,2
688387,信科移动-U,449.34,2
2044,美年健康,179.76,2
2681,奋达科技,78.15,1
2519,银河电子,66.83,1
688300,联瑞新材,442.3,2
880,潍柴重机,54.9,1
688122,西部超导,368.55,2
601398,工商银行,19762.58,4
300456,赛微电子,243.64,2
2038,双鹭药业,54.35,1
2792,通宇通讯,116.21,2
300454,深信服,320.37,2
2865,钧达股份,125.04,2
600343,航天动力,176.91,2
688167,炬光科技,367.12,2
2472,双环传动,326.01,2
688200,华峰测控,1012.9,4
601628,中国人寿,7792.16,4
603690,至纯科技,127.6,2
887,中鼎股份,271.81,2
1208,华菱线缆,50.97,1
600031,三一重工,1598.27,4
600664,哈药股份,84.87,1
2657,中科金财,55.06,1
688257,新锐股份,292.45,2
600685,中船防务,234.93,2
601689,拓普集团,996.82,3
301200,大族数控,1428.8,4
688818,电科蓝天,103.37,2
688025,杰普特,393.52,2
2565,顺灏股份,118.19,2
603186,华正新材,280.34,2
600276,恒瑞医药,3556.29,4
301196,唯科科技,122.88,2
300903,科翔股份,279.46,2
600376,首开股份,94.41,2
603931,格林达,115.7,2
688099,晶晨股份,429.03,2
3009,中天火箭,99.87,2
2821,凯莱英,524.42,3
600151,航天机电,161.64,2
688102,斯瑞新材,358.95,2
600233,圆通速递,573.0,3
2902,铭普光磁,48.71,1
600895,张江高科,544.67,3
600863,华能蒙电,311.33,2
300747,锐科激光,212.81,2
630,铜陵有色,679.72,3
